"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990138","GO:1990138","neuron projection extension","23/326","200/17643",2.84455571992294e-12,9.22670437153187e-10,7.44211994092758e-10,"Slit3/Plxna4/Rufy3/Rasal1/D130043K22Rik/Map1b/Tmem108/Dnm2/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Mapt/Nrp2/Gsk3b/Unc13a",23
"GO:0007411","GO:0007411","axon guidance","24/326","222/17643",3.62092146125046e-12,9.93803674903203e-10,8.01586985834717e-10,"Slit3/Chl1/Plxna4/Dpysl5/Foxp1/Ephb2/Flrt2/Kif5a/Bcl11b/Ablim1/Lrp1/Dscaml1/Lmo4/Sema6d/Ptpro/Dscam/L1cam/Sema4d/Epha4/Sema3e/Cntn5/Mef2c/Nrp2/Alcam",24
"GO:0097485","GO:0097485","neuron projection guidance","24/326","222/17643",3.62092146125046e-12,9.93803674903203e-10,8.01586985834717e-10,"Slit3/Chl1/Plxna4/Dpysl5/Foxp1/Ephb2/Flrt2/Kif5a/Bcl11b/Ablim1/Lrp1/Dscaml1/Lmo4/Sema6d/Ptpro/Dscam/L1cam/Sema4d/Epha4/Sema3e/Cntn5/Mef2c/Nrp2/Alcam",24
"GO:0030516","GO:0030516","regulation of axon extension","17/326","110/17643",1.83790479635873e-11,4.68403165243424e-09,3.77806895732689e-09,"Plxna4/Rufy3/D130043K22Rik/Map1b/Dnm2/Lrp1/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Mapt/Gsk3b",17
"GO:0034329","GO:0034329","cell junction assembly","32/326","431/17643",2.414276645426e-11,5.74275938058664e-09,4.6320227007682e-09,"Nrg1/Cacna1a/Hdac7/Snca/Ephb2/Gria1/Flrt2/Il1rapl2/Shank2/Rock1/Farp1/Lrp1/Ntng2/Kirrel3/Ntrk3/Macf1/Ptpro/Grid2/Sema4d/C1ql3/Cdh13/Fgf13/Mapt/Cntn5/Mef2c/Sorbs1/Ptprk/Srgap2/Dnm3/Gsk3b/Map4k4/Cdh10",32
"GO:0016358","GO:0016358","dendrite development","27/326","317/17643",4.32758750913807e-11,9.65052014537789e-09,7.78396332235755e-09,"Nr3c1/Dpysl5/Cacna1a/Ephb2/Dab1/Dgkg/D130043K22Rik/Map1b/Shank1/Hecw1/Farp1/Dtnbp1/Rapgef4/Dynlt1a/Ube3a/Pacsin1/Myo5b/Dscam/Tanc2/Sema4d/Epha4/Rere/Mef2c/Phactr1/Srgap2/Dnm3/Gsk3b",27
"GO:0050807","GO:0050807","regulation of synapse organization","26/326","298/17643",5.90746590982225e-11,1.23987284507328e-08,1.00006264999715e-08,"Nrg1/Grin2b/Snca/Ephb2/Flrt2/Il1rapl2/Shank2/Rock1/Farp1/Dtnbp1/Rapgef4/Ube3a/Ntng2/Myo5b/Ntrk3/Ptpro/Grid2/Tanc2/Grid1/Sema4d/C1ql3/Epha4/Mef2c/Nrp2/Dnm3/Gsk3b",26
"GO:0007416","GO:0007416","synapse assembly","22/326","213/17643",7.24771998636512e-11,1.43665916174171e-08,1.15878751127031e-08,"Nrg1/Cacna1a/Snca/Ephb2/Gria1/Flrt2/Il1rapl2/Shank2/Farp1/Ntng2/Kirrel3/Ntrk3/Grid2/Sema4d/C1ql3/Fgf13/Mapt/Cntn5/Mef2c/Srgap2/Dnm3/Gsk3b",22
"GO:0050803","GO:0050803","regulation of synapse structure or activity","26/326","306/17643",1.06115984149373e-10,1.99274648128928e-08,1.60731911725422e-08,"Nrg1/Grin2b/Snca/Ephb2/Flrt2/Il1rapl2/Shank2/Rock1/Farp1/Dtnbp1/Rapgef4/Ube3a/Ntng2/Myo5b/Ntrk3/Ptpro/Grid2/Tanc2/Grid1/Sema4d/C1ql3/Epha4/Mef2c/Nrp2/Dnm3/Gsk3b",26
"GO:0001558","GO:0001558","regulation of cell growth","30/326","407/17643",1.25296730468851e-10,2.2352936715643e-08,1.80295400579915e-08,"Slit3/Nrg1/Bcl6/Plxna4/Rufy3/Nr3c1/Foxp1/Fhl1/Rasal1/D130043K22Rik/Map1b/Dnm2/Vgll4/Lrp1/Ulk2/Trim46/Sbf1/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgf13/Mapt/Tgfbr1/Gsk3b/Unc13a",30
"GO:0048167","GO:0048167","regulation of synaptic plasticity","23/326","248/17643",2.3387985327306e-10,3.97373007846799e-08,3.20515047041878e-08,"Prkcg/Grin2b/Jph4/Nr3c1/Kcnq3/Snca/Ephb2/Mir124a-1hg/Gria1/Shank2/Unc13b/Sorcs3/Iqsec2/Ube3a/Sorcs2/Grid2/Epha4/Kcnn2/Mapt/Mef2c/Prrt1/Gsk3b/Unc13a",23
"GO:0008361","GO:0008361","regulation of cell size","20/326","210/17643",2.26113696470685e-09,3.66715304094274e-07,2.9578700772768e-07,"Plxna4/Rufy3/Rap1gap2/D130043K22Rik/Map1b/Dnm2/Lrp1/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgf13/Mapt/Gsk3b",20
"GO:0001764","GO:0001764","neuron migration","19/326","190/17643",2.54214300082395e-09,3.94363748997385e-07,3.18087824450924e-07,"Nrg1/Chl1/Nav1/Ulk4/Flrt2/Dab1/Arhgef2/Nexmif/Trim46/Ntng2/Kirrel3/Ntrk3/Sema3e/Fgf13/Mapt/Mef2c/Phactr1/Nrp2/Gsk3b",19
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","15/326","119/17643",5.30353104090089e-09,7.88458281413932e-07,6.35958502886975e-07,"Grin2b/Nr3c1/Cacna1a/Gria1/Cacng8/Shank2/Unc13b/Dtnbp1/Iqsec2/Grid2/Grid1/Grm7/Mef2c/Myo5a/Unc13a",15
"GO:0099173","GO:0099173","postsynapse organization","21/326","248/17643",7.42266739152856e-09,1.05936309011896e-06,8.54466216776383e-07,"Grin2b/Ephb2/Shank2/Tmem108/Shank1/Farp1/Dtnbp1/Rapgef4/Ube3a/Ntng2/Myo5b/Ntrk3/Grid2/Tanc2/Grid1/C1ql3/Epha4/Sorbs1/Nrp2/Dnm3/Sorbs2",21
"GO:0007626","GO:0007626","locomotory behavior","21/326","250/17643",8.55889117067491e-09,1.17454321911416e-06,9.47368763588065e-07,"Nrg1/Chl1/Pcdh15/Apba1/Lsamp/Cacna1a/Snca/Dab1/Shank2/Fgf12/Gnao1/Eps8/Ube3a/Cacna1b/Dscam/Nav2/Epha4/Mapt/Uchl3/Apba2/Myo5a",21
"GO:0031346","GO:0031346","positive regulation of cell projection organization","28/326","440/17643",1.38806372662689e-08,1.83430050985361e-06,1.47951899750406e-06,"Ahi1/Nrg1/Zeb2/Plxna4/Rufy3/Ephb2/Map1b/Dnm2/Dpysl3/Ccdc88a/Lrp1/Eps8/Dynlt1a/Pacsin1/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Epha4/Fgfr1/Mapt/Tgfbr1/Apc/Tenm1/Dnm3/Gsk3b",28
"GO:0043087","GO:0043087","regulation of GTPase activity","23/326","313/17643",2.08942798109496e-08,2.66252822733815e-06,2.14755492492993e-06,"Bcl6/Plxna4/Ptprn2/Rapgefl1/Agap1/Rasal1/Rap1gap2/Rgs11/Agap3/Rasgef1b/Gnao1/Rapgef4/Dynlt1a/Rgs6/Ntrk3/Sema4d/Epha4/Rasa1/Dock9/Srgap2/Garnl3/Gsk3b/Map4k4",23
"GO:0050767","GO:0050767","regulation of neurogenesis","28/326","455/17643",2.84626283914126e-08,3.50188476208829e-06,2.82456718773583e-06,"Nrg1/Zeb2/Plxna4/Rufy3/Dpysl5/Ephb2/Dab1/D130043K22Rik/Map1b/Arhgef2/Ski/Lrp1/Tenm4/Ulk2/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Epha4/Sema3e/Fgf13/Mapt/Gsk3b/Prox1",28
"GO:0050772","GO:0050772","positive regulation of axonogenesis","13/326","98/17643",3.02473376120962e-08,3.59741668666531e-06,2.90162179057793e-06,"Zeb2/Plxna4/Rufy3/Map1b/Lrp1/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Mapt/Gsk3b",13
"GO:0048639","GO:0048639","positive regulation of developmental growth","18/326","200/17643",3.51479302662453e-08,4.04541339322462e-06,3.26296914593938e-06,"Nrg1/Rufy3/Nr3c1/Rasal1/Map1b/Lrp1/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Fgfr1/Mapt/Mef2c/Gsk3b/Unc13a/Prox1",18
"GO:0032535","GO:0032535","regulation of cellular component size","25/326","376/17643",3.6459728840037e-08,4.06525976566412e-06,3.27897692923227e-06,"Plxna4/Rufy3/Fhod3/Rap1gap2/D130043K22Rik/Map1b/Dnm2/Lrp1/Ulk2/Eps8/Trim46/Sema6d/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Sema3e/Fgf13/Mapt/Rasa1/Tenm1/Gsk3b/Sptbn1",25
"GO:0045773","GO:0045773","positive regulation of axon extension","10/326","53/17643",3.89831624867824e-08,4.21490678038908e-06,3.39967994382339e-06,"Rufy3/Map1b/Lrp1/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Mapt/Gsk3b",10
"GO:0050768","GO:0050768","negative regulation of neurogenesis","16/326","164/17643",6.6598506097904e-08,6.98892558109769e-06,5.63716147590308e-06,"Rufy3/Dpysl5/Ephb2/Dab1/D130043K22Rik/Arhgef2/Ski/Ulk2/Trim46/Sema6d/Ntrk3/Sema4d/Sema3e/Fgf13/Gsk3b/Prox1",16
"GO:0048813","GO:0048813","dendrite morphogenesis","17/326","187/17643",7.3193770932141e-08,7.46158213388226e-06,6.01839908957815e-06,"Dpysl5/Cacna1a/Ephb2/Shank1/Hecw1/Farp1/Dtnbp1/Ube3a/Myo5b/Dscam/Tanc2/Sema4d/Epha4/Rere/Phactr1/Dnm3/Gsk3b",17
"GO:0060419","GO:0060419","heart growth","13/326","106/17643",7.84559827601925e-08,7.77585962467686e-06,6.27189055164814e-06,"Nrg1/Nr3c1/Foxp1/Vgll4/Tenm4/Fgfr1/Tgfbr1/Apc/Mef2c/Akap13/Sorbs2/Gsk3b/Prox1",13
"GO:0051961","GO:0051961","negative regulation of nervous system development","16/326","170/17643",1.10080251952189e-07,1.06153064585246e-05,8.56214534387723e-06,"Rufy3/Dpysl5/Ephb2/Dab1/D130043K22Rik/Arhgef2/Ski/Ulk2/Trim46/Sema6d/Ntrk3/Sema4d/Sema3e/Fgf13/Gsk3b/Prox1",16
"GO:0099504","GO:0099504","synaptic vesicle cycle","18/326","222/17643",1.72639174444552e-07,1.62099098531095e-05,1.30746676712301e-05,"Rimbp2/Prkcg/Cacna1a/Atp6v0a1/Snca/Unc13b/Dnm2/Rock1/Dtnbp1/Rapgef4/Cacna1b/Pacsin1/Myo5b/Sv2b/Prkcb/Syn3/Dnm3/Unc13a",18
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","25/326","411/17643",2.01870449942081e-07,1.84685580870089e-05,1.4896459113135e-05,"Nrg1/Bcl6/Srgap1/Ephb2/Rapgefl1/Dab1/Rasal1/Rap1gap2/Arhgef2/Dnm2/Rock1/Rasgef1b/Cyth3/Ccdc88a/Iqsec2/Rapgef4/Eps8/Dynlt1a/Nisch/Cdh13/Akap13/Dock9/Garnl3/Nfix/Map4k4",25
"GO:0045927","GO:0045927","positive regulation of growth","20/326","280/17643",2.8129599765801e-07,2.45481603811905e-05,1.98001742040874e-05,"Ahi1/Nrg1/Rufy3/Nr3c1/Rasal1/Map1b/Lrp1/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Fgfr1/Mapt/Tgfbr1/Mef2c/Gsk3b/Unc13a/Prox1",20
"GO:0030307","GO:0030307","positive regulation of cell growth","16/326","182/17643",2.82083681510317e-07,2.45481603811905e-05,1.98001742040874e-05,"Nrg1/Rufy3/Nr3c1/Rasal1/Map1b/Lrp1/Myo5b/Ntrk3/Macf1/Dscam/L1cam/Sema4d/Mapt/Tgfbr1/Gsk3b/Unc13a",16
"GO:0055017","GO:0055017","cardiac muscle tissue growth","12/326","100/17643",3.17497649012963e-07,2.69721812304346e-05,2.17553526917654e-05,"Nrg1/Nr3c1/Foxp1/Vgll4/Tenm4/Fgfr1/Tgfbr1/Apc/Mef2c/Akap13/Sorbs2/Gsk3b",12
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","19/326","262/17643",4.44925562369273e-07,3.69184745705481e-05,2.97778821913731e-05,"Nrg1/Rimbp2/Prkcg/Cacna1a/Atp6v0a1/Snca/Unc13b/Dnm2/Rock1/Dtnbp1/Rapgef4/Cacna1b/Pacsin1/Myo5b/Sv2b/Prkcb/Syn3/Dnm3/Unc13a",19
"GO:0060292","GO:0060292","long-term synaptic depression","8/326","39/17643",4.65885016725275e-07,3.77790395380859e-05,3.04720008547106e-05,"Gria1/Shank2/Sorcs3/Iqsec2/Sorcs2/Grid2/Mapt/Prrt1",8
"GO:0050771","GO:0050771","negative regulation of axonogenesis","10/326","69/17643",5.23356522547521e-07,4.05942624445556e-05,3.2742716994163e-05,"Rufy3/Ephb2/Dab1/D130043K22Rik/Ulk2/Trim46/Sema6d/Sema4d/Sema3e/Fgf13",10
"GO:0050805","GO:0050805","negative regulation of synaptic transmission","10/326","69/17643",5.23356522547521e-07,4.05942624445556e-05,3.2742716994163e-05,"Gria1/Shank2/Sorcs3/Iqsec2/Rapgef4/Sorcs2/Grid2/Mapt/Prrt1/Myo5a",10
"GO:0035265","GO:0035265","organ growth","16/326","192/17643",5.82850549182917e-07,4.42470374358436e-05,3.56889899544478e-05,"Nrg1/Nr3c1/Foxp1/Wwc1/Vgll4/Tenm4/Ube3a/Smpd3/Fgfr1/Tgfbr1/Apc/Mef2c/Akap13/Sorbs2/Gsk3b/Prox1",16
"GO:0043547","GO:0043547","positive regulation of GTPase activity","17/326","223/17643",9.07134977324989e-07,6.74303666478242e-05,5.43883120176868e-05,"Rapgefl1/Agap1/Rap1gap2/Rgs11/Agap3/Rasgef1b/Gnao1/Rapgef4/Rgs6/Ntrk3/Sema4d/Rasa1/Dock9/Srgap2/Garnl3/Gsk3b/Map4k4",17
"GO:0010721","GO:0010721","negative regulation of cell development","19/326","283/17643",1.42662075315538e-06,0.00010388128259711,8.37890685097061e-05,"Bcl6/Rufy3/Dpysl5/Ephb2/Dab1/D130043K22Rik/Arhgef2/Zfp608/Ski/Ulk2/Trim46/Sema6d/Ntrk3/Sema4d/Sema3e/Fgf13/Grb14/Gsk3b/Prox1",19
"GO:0048640","GO:0048640","negative regulation of developmental growth","12/326","117/17643",1.75046019860845e-06,0.000124912839772699,0.000100752803852537,"Foxp1/D130043K22Rik/Wwc1/Vgll4/Ulk2/Trim46/Sema6d/Sema4d/Sema3e/Fgf13/Apc/Gsk3b",12
"GO:0007269","GO:0007269","neurotransmitter secretion","14/326","165/17643",2.40208725311633e-06,0.000164820140752289,0.000132941428138057,"Rimbp2/Prkcg/Cacna1a/Snca/Ptprn2/Unc13b/Dtnbp1/Cacna1b/Sv2b/Lin7a/Prkcb/Mef2c/Syn3/Unc13a",14
"GO:0099643","GO:0099643","signal release from synapse","14/326","165/17643",2.40208725311633e-06,0.000164820140752289,0.000132941428138057,"Rimbp2/Prkcg/Cacna1a/Snca/Ptprn2/Unc13b/Dtnbp1/Cacna1b/Sv2b/Lin7a/Prkcb/Mef2c/Syn3/Unc13a",14
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","15/326","192/17643",2.95064424816461e-06,0.000198639597687761,0.000160219689662007,"Nrg1/Pcdh15/Dab1/Dscaml1/Tenm4/Ntng2/Kirrel3/Grid2/Dscam/L1cam/Cdh13/Cntn5/Tenm1/Alcam/Cdh10",15
"GO:0007265","GO:0007265","Ras protein signal transduction","20/326","327/17643",3.16476275759938e-06,0.000206422713462509,0.000166497432914356,"Nrg1/Bcl6/Srgap1/Ephb2/Rapgefl1/Rasal1/Arhgef2/Dnm2/Rock1/Rasgef1b/Cyth3/Iqsec2/Rapgef4/Eps8/Dynlt1a/Nisch/Cdh13/Akap13/Nfix/Map4k4",20
"GO:0008344","GO:0008344","adult locomotory behavior","11/326","103/17643",3.18196447321693e-06,0.000206422713462509,0.000166497432914356,"Chl1/Pcdh15/Cacna1a/Snca/Dab1/Shank2/Fgf12/Eps8/Epha4/Mapt/Uchl3",11
"GO:0048846","GO:0048846","axon extension involved in axon guidance","7/326","36/17643",3.63168529463962e-06,0.00022733075668902,0.000183361543777372,"Slit3/Plxna4/Sema6d/Dscam/Sema4d/Sema3e/Nrp2",7
"GO:1902284","GO:1902284","neuron projection extension involved in neuron projection guidance","7/326","36/17643",3.63168529463962e-06,0.00022733075668902,0.000183361543777372,"Slit3/Plxna4/Sema6d/Dscam/Sema4d/Sema3e/Nrp2",7
"GO:0050806","GO:0050806","positive regulation of synaptic transmission","15/326","196/17643",3.80632328028957e-06,0.000234154508001262,0.000188865478190775,"Prkcg/Grin2b/Snca/Ephb2/Mir124a-1hg/Gria1/Cacng8/Shank2/Dtnbp1/Iqsec2/Cacna1b/Epha4/Prrt1/Gsk3b/Unc13a",15
"GO:0048663","GO:0048663","neuron fate commitment","9/326","68/17643",4.25149712487626e-06,0.000257107487145059,0.000207379003379334,"Nrg1/Bcl11b/Myt1l/Lmo4/Ntrk3/Tgfbr1/Nfia/Nfix/Prox1",9
"GO:1905606","GO:1905606","regulation of presynapse assembly","7/326","38/17643",5.31915398396583e-06,0.000313534245927387,0.000252891972021913,"Nrg1/Snca/Il1rapl2/Farp1/Ntng2/Ntrk3/Grid2",7
"GO:0099054","GO:0099054","presynapse assembly","8/326","53/17643",5.36031081882585e-06,0.000313534245927387,0.000252891972021913,"Nrg1/Snca/Il1rapl2/Farp1/Ntng2/Ntrk3/Grid2/Cntn5",8
"GO:0021761","GO:0021761","limbic system development","11/326","109/17643",5.54816919625706e-06,0.0003192881885846,0.000257533014984156,"Zeb2/Dab1/Tmem108/Kirrel3/Sema3e/Fgfr1/Fgf13/Nrp2/Gsk3b/Nfix/Prox1",11
"GO:1901888","GO:1901888","regulation of cell junction assembly","16/326","229/17643",5.87453935143185e-06,0.000332704069935061,0.000268354061600913,"Nrg1/Snca/Ephb2/Flrt2/Il1rapl2/Rock1/Farp1/Lrp1/Ntng2/Ntrk3/Macf1/Grid2/Sema4d/Mef2c/Gsk3b/Map4k4",16
"GO:0030534","GO:0030534","adult behavior","14/326","180/17643",6.64985564598851e-06,0.00037072945226386,0.00029902475881797,"Chl1/Pcdh15/Cacna1a/Snca/Ulk4/Dab1/Shank2/Fgf12/Shank1/Eps8/Epha4/Grm7/Mapt/Uchl3",14
"GO:0021537","GO:0021537","telencephalon development","17/326","260/17643",7.2935003097133e-06,0.000400357063154724,0.000322921940838156,"Nrg1/Zeb2/Plxna4/Ulk4/Ephb2/Dab1/Tmem108/Bcl11b/Ski/Kirrel3/Fgfr1/Fgf13/Phactr1/Srgap2/Gsk3b/Nfix/Prox1",17
"GO:0070570","GO:0070570","regulation of neuron projection regeneration","7/326","40/17643",7.61275098642795e-06,0.000411549932114771,0.000331949939344402,"Nrg1/Xylt1/D130043K22Rik/Lrp1/Ntrk3/Epha4/Map4k4",7
"GO:0006887","GO:0006887","exocytosis","20/326","348/17643",8.02689378847046e-06,0.000417324564529225,0.00033660767035134,"Rimbp2/Prkcg/Kcnq3/Cacna1a/Mical3/Snca/Unc13b/Dtnbp1/Gnao1/Rapgef4/Cacna1b/Myo5b/Sv2b/Lin7a/Smpd3/Tspan18/Prkcb/Exoc6b/Myo5a/Unc13a",20
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","17/326","262/17643",8.06982426766976e-06,0.000417324564529225,0.00033660767035134,"Taco1/Cacna1a/Snca/Ephb2/Fhl1/Cacng8/Fgf12/Dnm2/Shank1/Hecw1/Cacna1d/Pde4b/Nr3c2/Fgf13/Mef2c/Prrt1/Myo5a",17
"GO:0060038","GO:0060038","cardiac muscle cell proliferation","8/326","56/17643",8.18742138930654e-06,0.000417324564529225,0.00033660767035134,"Nrg1/Foxp1/Vgll4/Tenm4/Fgfr1/Tgfbr1/Apc/Mef2c",8
"GO:2001222","GO:2001222","regulation of neuron migration","8/326","56/17643",8.18742138930654e-06,0.000417324564529225,0.00033660767035134,"Nrg1/Ulk4/Flrt2/Arhgef2/Nexmif/Ntng2/Phactr1/Gsk3b",8
"GO:0051963","GO:0051963","regulation of synapse assembly","12/326","138/17643",9.84174818281948e-06,0.000487713298837498,0.000393382156898077,"Nrg1/Snca/Ephb2/Flrt2/Il1rapl2/Farp1/Ntng2/Ntrk3/Grid2/Sema4d/Mef2c/Gsk3b",12
"GO:0099175","GO:0099175","regulation of postsynapse organization","12/326","138/17643",9.84174818281948e-06,0.000487713298837498,0.000393382156898077,"Grin2b/Ephb2/Shank2/Dtnbp1/Rapgef4/Ube3a/Grid2/Tanc2/Grid1/Epha4/Nrp2/Dnm3",12
"GO:0050919","GO:0050919","negative chemotaxis","7/326","42/17643",1.06726590614892e-05,0.00050697386028312,0.000408917433919651,"Slit3/Nrg1/Plxna4/Sema6d/Sema4d/Sema3e/Nrp2",7
"GO:0099174","GO:0099174","regulation of presynapse organization","7/326","42/17643",1.06726590614892e-05,0.00050697386028312,0.000408917433919651,"Nrg1/Snca/Il1rapl2/Farp1/Ntng2/Ntrk3/Grid2",7
"GO:0099171","GO:0099171","presynaptic modulation of chemical synaptic transmission","8/326","58/17643",1.06994983065534e-05,0.00050697386028312,0.000408917433919651,"Prkcg/Apba1/Unc13b/Nr3c2/Grm7/Prkcb/Apba2/Gsk3b",8
"GO:0060420","GO:0060420","regulation of heart growth","9/326","76/17643",1.07987705665687e-05,0.00050697386028312,0.000408917433919651,"Nrg1/Nr3c1/Foxp1/Vgll4/Fgfr1/Tgfbr1/Apc/Mef2c/Prox1",9
"GO:0060043","GO:0060043","regulation of cardiac muscle cell proliferation","7/326","43/17643",1.2547680032561e-05,0.000581430160469841,0.000468972757471249,"Nrg1/Foxp1/Vgll4/Fgfr1/Tgfbr1/Apc/Mef2c",7
"GO:0042391","GO:0042391","regulation of membrane potential","23/326","455/17643",1.38138773597693e-05,0.000624134102966545,0.000503417110429116,"Rimbp2/Grin2b/Kcnq3/Cacna1a/Foxp1/Snca/Fhl1/Gria1/Unc13b/Fgf12/Tmem108/Shank1/Rapgef4/Cacna1d/Ntrk3/Grid2/Gabrg3/Kcnn2/Nr3c2/Fgf13/Mapt/Mef2c/Gsk3b",23
"GO:0032409","GO:0032409","regulation of transporter activity","17/326","273/17643",1.38191127058176e-05,0.000624134102966545,0.000503417110429116,"Taco1/Cacna1a/Snca/Ephb2/Fhl1/Cacng8/Fgf12/Dnm2/Shank1/Hecw1/Cacna1d/Pde4b/Nr3c2/Fgf13/Mef2c/Prrt1/Myo5a",17
