"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903522","GO:1903522","regulation of blood circulation","12/139","229/17643",2.67776711941351e-07,2.83840377636621e-05,2.20862846395403e-05,"Cacna1d/Ank2/Cacna1c/Cacna1b/Agrn/Chrm3/Slc8a1/Pde4d/Asic2/App/Akap6/Dmd",12
"GO:0099084","GO:0099084","postsynaptic specialization organization","7/139","56/17643",2.72051480162895e-07,2.83840377636621e-05,2.20862846395403e-05,"Nrxn2/Cdh2/Cadm1/Gap43/Ptprs/Cntnap2/Nrxn1",7
"GO:0030902","GO:0030902","hindbrain development","10/139","159/17643",5.2336693050002e-07,5.2420431758882e-05,4.07895658254963e-05,"Nfix/Nav2/Nfib/Rere/Ptprs/Ctnna2/Dab1/Cntnap2/Nrxn1/Herc1",10
"GO:0050890","GO:0050890","cognition","14/139","343/17643",5.53955248063258e-07,5.33501515827076e-05,4.1513002597777e-05,"Prrt1/Nfix/Cacna1c/Mapt/Nrxn2/Ncam1/Grm7/Ube3a/Cntnap2/Ctnnd2/Nrxn1/Pde4d/Nrg1/App",14
"GO:0007626","GO:0007626","locomotory behavior","12/139","250/17643",6.8381346136721e-07,6.28518408785077e-05,4.890648960237e-05,"Nav2/Cacna1c/Mapt/Cacna1b/Negr1/Ube3a/Pcdh15/Dab1/Cntnap2/Nrg1/App/Dmd",12
"GO:0008015","GO:0008015","blood circulation","16/139","460/17643",7.02816112059991e-07,6.28518408785077e-05,4.890648960237e-05,"Cacna1d/Ank2/Nisch/Nav2/Cacna1c/Cacna1b/Agrn/Chrm3/Slc8a1/Pde4d/Prkg1/Gnaq/Asic2/App/Akap6/Dmd",16
"GO:0008016","GO:0008016","regulation of heart contraction","10/139","166/17643",7.78129195043961e-07,6.71874311858647e-05,5.22801139755489e-05,"Cacna1d/Ank2/Cacna1c/Cacna1b/Agrn/Chrm3/Slc8a1/Pde4d/Akap6/Dmd",10
"GO:0055117","GO:0055117","regulation of cardiac muscle contraction","7/139","66/17643",8.55639585981743e-07,7.14173841099428e-05,5.55715394263932e-05,"Ank2/Cacna1c/Agrn/Slc8a1/Pde4d/Akap6/Dmd",7
"GO:0097106","GO:0097106","postsynaptic density organization","6/139","45/17643",1.35760071101233e-06,0.000109659102592738,8.53283163356134e-05,"Nrxn2/Cdh2/Cadm1/Ptprs/Cntnap2/Nrxn1",6
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","8/139","102/17643",1.42609857465283e-06,0.000110946251450366,8.63298770113619e-05,"Robo1/Cdh2/Cadm1/Kirrel3/Cntn5/Pcdh15/Tenm3/Cdh11",8
"GO:0051963","GO:0051963","regulation of synapse assembly","9/139","138/17643",1.46215107742096e-06,0.000110946251450366,8.63298770113619e-05,"Robo1/Negr1/Agrn/Lingo2/Ptprs/Nrxn1/Nrg1/Asic2/App",9
"GO:0048588","GO:0048588","developmental cell growth","12/139","270/17643",1.53716973089195e-06,0.000110976189947967,8.63531728576122e-05,"Nfix/Bcl11a/Mapt/Macf1/Robo1/Clasp2/Ttc3/Ptprs/Slit3/Prkg1/App/Akap6",12
"GO:0008038","GO:0008038","neuron recognition","6/139","46/17643",1.55118476364971e-06,0.000110976189947967,8.63531728576122e-05,"Robo1/Ncam1/Gap43/Cntn5/Cntnap2/App",6
"GO:0021549","GO:0021549","cerebellum development","8/139","104/17643",1.65307007302127e-06,0.000113671524030035,8.84504754412288e-05,"Nfix/Nav2/Rere/Ptprs/Dab1/Cntnap2/Nrxn1/Herc1",8
"GO:0003013","GO:0003013","circulatory system process","16/139","492/17643",1.69442877272802e-06,0.000113671524030035,8.84504754412288e-05,"Cacna1d/Ank2/Nisch/Nav2/Cacna1c/Cacna1b/Agrn/Chrm3/Slc8a1/Pde4d/Prkg1/Gnaq/Asic2/App/Akap6/Dmd",16
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","12/139","273/17643",1.72504708991267e-06,0.000113671524030035,8.84504754412288e-05,"Nfix/Bcl11a/Mapt/Macf1/Robo1/Clasp2/Ttc3/Cadm1/Ptprs/Slit3/Prkg1/App",12
"GO:0043266","GO:0043266","regulation of potassium ion transport","8/139","105/17643",1.77763261454998e-06,0.000114133129918799,8.88096617957358e-05,"Cacna1d/Ank2/Ank3/Agrn/Dpp6/Grip1/Gnaq/Akap6",8
"GO:0031346","GO:0031346","positive regulation of cell projection organization","15/139","440/17643",2.05177881296701e-06,0.000128441353691735,9.99432258632089e-05,"Bcl11a/Mapt/Dcc/Macf1/Robo1/Negr1/Agrn/Tenm1/Grip1/Nrxn1/Nrg1/Tenm3/Ccdc88a/Camk1d/Dmd",15
"GO:0001508","GO:0001508","action potential","9/139","146/17643",2.3370134721919e-06,0.000142728822789476,0.000111060640231764,"Cacna1d/Ank2/Cacna1c/Ank3/Dpp6/Cntnap2/Kcnh7/Gnaq/Dmd",9
"GO:0007638","GO:0007638","mechanosensory behavior","4/139","13/17643",2.49650365325608e-06,0.0001488391701846,0.00011581524466609,"Strbp/Nrxn2/Cntnap2/Nrxn1",4
"GO:0001764","GO:0001764","neuron migration","10/139","190/17643",2.65148930792471e-06,0.000154403005280081,0.000120144595078792,"Mapt/Dcc/Neo1/Unc5d/Kirrel3/Ctnna2/Dab1/Nrg1/Zswim6/Prkg1",10
"GO:0006937","GO:0006937","regulation of muscle contraction","9/139","150/17643",2.92245260195099e-06,0.000162760823822249,0.000126648009456442,"Ank2/Cacna1c/Agrn/Chrm3/Slc8a1/Pde4d/Prkg1/Akap6/Dmd",9
"GO:0006942","GO:0006942","regulation of striated muscle contraction","7/139","79/17643",2.92501480511231e-06,0.000162760823822249,0.000126648009456442,"Ank2/Cacna1c/Agrn/Slc8a1/Pde4d/Akap6/Dmd",7
"GO:0022037","GO:0022037","metencephalon development","8/139","115/17643",3.53023081064529e-06,0.000189562132264538,0.000147502735337843,"Nfix/Nav2/Rere/Ptprs/Dab1/Cntnap2/Nrxn1/Herc1",8
"GO:0090659","GO:0090659","walking behavior","6/139","53/17643",3.63377889324993e-06,0.000189562132264538,0.000147502735337843,"Cacna1c/Mapt/Pcdh15/Dab1/Cntnap2/Dmd",6
"GO:0099054","GO:0099054","presynapse assembly","6/139","53/17643",3.63377889324993e-06,0.000189562132264538,0.000147502735337843,"Cadm1/Ptprs/Cntn5/Nrxn1/Nrg1/App",6
"GO:0072659","GO:0072659","protein localization to plasma membrane","12/139","295/17643",3.8450520242192e-06,0.000196490005482548,0.000152893475764334,"Ank2/Ank3/Macf1/Sorbs1/Clasp2/Cdh2/Dpp6/Actb/Grip1/Nrxn1/Kcnb2/Ccdc88a",12
"GO:0048668","GO:0048668","collateral sprouting","5/139","31/17643",4.06911183230258e-06,0.000203025264611974,0.000157978713972071,"Nfix/Bcl11a/Ptprs/Prkg1/App",5
"GO:0010959","GO:0010959","regulation of metal ion transport","14/139","407/17643",4.13509923930138e-06,0.000203025264611974,0.000157978713972071,"Cacna1d/Ank2/Cacna1c/Ank3/Cacna1b/Agrn/Dpp6/Slc8a1/Grip1/Hecw1/Pde4d/Gnaq/Akap6/Dmd",14
"GO:0060048","GO:0060048","cardiac muscle contraction","8/139","118/17643",4.280456628053e-06,0.000206120449935475,0.000160387150172593,"Cacna1d/Ank2/Cacna1c/Agrn/Slc8a1/Pde4d/Akap6/Dmd",8
"GO:0060047","GO:0060047","heart contraction","10/139","202/17643",4.58218152777417e-06,0.000216486463123519,0.000168453187843297,"Cacna1d/Ank2/Cacna1c/Cacna1b/Agrn/Chrm3/Slc8a1/Pde4d/Akap6/Dmd",10
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport","7/139","86/17643",5.17922073942866e-06,0.00024016238391721,0.000186875976387572,"Cacna1d/Ank2/Ank3/Agrn/Dpp6/Grip1/Akap6",7
"GO:0050684","GO:0050684","regulation of mRNA processing","8/139","124/17643",6.19186991486585e-06,0.000281898950305893,0.000219352176314195,"Pabpn1/Celf4/Malat1/Snrnp70/Son/Srsf2/Hnrnpa2b1/Celf2",8
"GO:0042551","GO:0042551","neuron maturation","6/139","59/17643",6.86087946772113e-06,0.000306779324770959,0.000238712178472779,"Bcl11a/Ank3/Cntnap2/Nrxn1/Gnaq/App",6
"GO:0031345","GO:0031345","negative regulation of cell projection organization","10/139","213/17643",7.32313880686272e-06,0.000321704203024285,0.000250325575835695,"Dync1i2/Bcl11a/Ttc3/Neo1/Ube3a/Ptprs/Ptprg/Dab1/Nrxn1/App",10
"GO:1901016","GO:1901016","regulation of potassium ion transmembrane transporter activity","6/139","60/17643",7.57416348127809e-06,0.000323870594214564,0.000252011295565477,"Cacna1d/Ank2/Ank3/Agrn/Grip1/Akap6",6
"GO:0003015","GO:0003015","heart process","10/139","214/17643",7.63113620553485e-06,0.000323870594214564,0.000252011295565477,"Cacna1d/Ank2/Cacna1c/Cacna1b/Agrn/Chrm3/Slc8a1/Pde4d/Akap6/Dmd",10
"GO:1903829","GO:1903829","positive regulation of protein localization","15/139","492/17643",7.94539317273781e-06,0.000331587741742258,0.000258016188819959,"Cacna1d/Ppia/Cacna1c/Ank3/Mapt/Sorbs1/Clasp2/Nnat/Dpp6/Chrm3/Grip1/Nrxn1/Gnaq/Ccdc88a/App",15
"GO:0099172","GO:0099172","presynapse organization","6/139","61/17643",8.34640563893466e-06,0.00034261311016217,0.000266595286241036,"Cadm1/Ptprs/Cntn5/Nrxn1/Nrg1/App",6
"GO:0002027","GO:0002027","regulation of heart rate","7/139","93/17643",8.72310828364538e-06,0.000347668905647613,0.000270529319133063,"Cacna1d/Ank2/Cacna1c/Chrm3/Slc8a1/Pde4d/Dmd",7
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","5/139","36/17643",8.74726080503179e-06,0.000347668905647613,0.000270529319133063,"Cacna1d/Ank2/Cacna1c/Slc8a1/Pde4d",5
"GO:1990778","GO:1990778","protein localization to cell periphery","13/139","379/17643",9.56740014829092e-06,0.000374324530801882,0.000291270685435633,"Ank2/Ank3/Macf1/Sorbs1/Clasp2/Cdh2/Dpp6/Actb/Grip1/Nrxn1/Kcnb2/Kif1b/Ccdc88a",13
"GO:2001257","GO:2001257","regulation of cation channel activity","8/139","135/17643",1.15859731030009e-05,0.000442210838220468,0.000344094611378042,"Ank2/Ank3/Grip1/Pde4d/Asic2/App/Akap6/Dmd",8
"GO:0021953","GO:0021953","central nervous system neuron differentiation","9/139","178/17643",1.17768457203253e-05,0.000442210838220468,0.000344094611378042,"Ubb/Nfix/Dcc/Nfib/Nrxn1/Zswim6/Cdh11/Gnaq/Herc1",9
"GO:0006813","GO:0006813","potassium ion transport","10/139","225/17643",1.18323187543017e-05,0.000442210838220468,0.000344094611378042,"Cacna1d/Ank2/Ank3/Agrn/Dpp6/Grip1/Kcnh7/Kcnb2/Gnaq/Akap6",10
"GO:0030534","GO:0030534","adult behavior","9/139","180/17643",1.2881018498219e-05,0.000474324563522652,0.000369083053253922,"Cacna1c/Mapt/Nrxn2/Grm7/Pcdh15/Dab1/Cntnap2/Nrxn1/App",9
"GO:0007612","GO:0007612","learning","9/139","182/17643",1.40723521819852e-05,0.000503674416766488,0.000391920861541437,"Nfix/Cacna1c/Nrxn2/Grm7/Ube3a/Cntnap2/Ctnnd2/Nrxn1/App",9
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","7/139","100/17643",1.40803551012996e-05,0.000503674416766488,0.000391920861541437,"Celf4/Malat1/Snrnp70/Son/Srsf2/Hnrnpa2b1/Celf2",7
"GO:0021695","GO:0021695","cerebellar cortex development","6/139","67/17643",1.44315040309403e-05,0.000508964592865837,0.000396037271479176,"Nfix/Nav2/Rere/Cntnap2/Nrxn1/Herc1",6
"GO:0043113","GO:0043113","receptor clustering","6/139","71/17643",2.01836854359443e-05,0.000701943726827839,0.000546198855876211,"Nrxn2/Sorbs1/Agrn/Cdh2/Nme7/Nrxn1",6
"GO:0071805","GO:0071805","potassium ion transmembrane transport","9/139","194/17643",2.33815701112123e-05,0.000792562072933948,0.000616711113586992,"Cacna1d/Ank2/Ank3/Agrn/Dpp6/Grip1/Kcnh7/Kcnb2/Akap6",9
"GO:0009612","GO:0009612","response to mechanical stimulus","8/139","149/17643",2.37388799800504e-05,0.000792562072933948,0.000616711113586992,"Strbp/Nrxn2/Pcdh15/Cntnap2/Slc8a1/Nrxn1/Asic2/Dmd",8
"GO:1904064","GO:1904064","positive regulation of cation transmembrane transport","8/139","149/17643",2.37388799800504e-05,0.000792562072933948,0.000616711113586992,"Cacna1d/Ank2/Cacna1c/Ank3/Dpp6/Asic2/Akap6/Dmd",8
"GO:0010880","GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","4/139","23/17643",2.90816230257952e-05,0.000958162948113041,0.00074556903352835,"Ank2/Slc8a1/Pde4d/Dmd",4
"GO:1905475","GO:1905475","regulation of protein localization to membrane","9/139","200/17643",2.97269206931686e-05,0.000966302621078853,0.000751902703723287,"Ank3/Sorbs1/Clasp2/Cdh2/Dpp6/Actb/Grip1/Nrxn1/Gpc5",9
"GO:0006941","GO:0006941","striated muscle contraction","8/139","154/17643",3.01004810080473e-05,0.000966302621078853,0.000751902703723287,"Cacna1d/Ank2/Cacna1c/Agrn/Slc8a1/Pde4d/Akap6/Dmd",8
"GO:0048638","GO:0048638","regulation of developmental growth","12/139","363/17643",3.0703549172651e-05,0.000973185913016686,0.00075725875441142,"Bcl11a/Cacna1c/Mapt/Macf1/Ncam1/Clasp2/Ttc3/Agrn/Ptprs/Nrg1/App/Akap6",12
"GO:0001941","GO:0001941","postsynaptic membrane organization","5/139","47/17643",3.32015757992408e-05,0.00103920932251624,0.000808633115847299,"Nrxn2/Sorbs1/Agrn/Cdh2/Nrxn1",5
"GO:0016049","GO:0016049","cell growth","14/139","494/17643",3.62312574028729e-05,0.00112003788317029,0.000871527712186064,"Nfix/Bcl11a/Mapt/Macf1/Robo1/Clasp2/Ttc3/Cadm1/Ptprs/Nrg1/Slit3/Prkg1/App/Akap6",14
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","5/139","48/17643",3.68289540408791e-05,0.00112463049900441,0.000875101334142069,"Grm7/Gria2/Grip1/Gnaq/App",5
"GO:0010977","GO:0010977","negative regulation of neuron projection development","8/139","160/17643",3.95610260232918e-05,0.00119350372484726,0.000928693204427561,"Dync1i2/Bcl11a/Ttc3/Neo1/Ube3a/Ptprs/Ptprg/Dab1",8
"GO:0099068","GO:0099068","postsynapse assembly","5/139","49/17643",4.0755957155023e-05,0.00120518195149846,0.000937780306130674,"Nrxn2/Cdh2/Gap43/Ptprs/Nrxn1",5
"GO:0021537","GO:0021537","telencephalon development","10/139","260/17643",4.09107291842528e-05,0.00120518195149846,0.000937780306130674,"Nfix/Robo1/Nfib/Cdh2/Kirrel3/Ptprs/Dab1/Nrg1/Zswim6/Herc1",10
"GO:0014808","GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","4/139","26/17643",4.82062887499143e-05,0.00140358775616029,0.00109216451011128,"Ank2/Slc8a1/Pde4d/Dmd",4
"GO:0098926","GO:0098926","postsynaptic signal transduction","5/139","52/17643",5.45059311937176e-05,0.00156876841044907,0.0012206954463348,"Sorbs1/Ly6h/Chrm3/Nrg1/Gnaq",5
"GO:0097119","GO:0097119","postsynaptic density protein 95 clustering","3/139","10/17643",5.51494085560874e-05,0.00156925135255049,0.00122107123489614,"Nrxn2/Cdh2/Nrxn1",3
"GO:1903514","GO:1903514","release of sequestered calcium ion into cytosol by endoplasmic reticulum","4/139","27/17643",5.62451311693657e-05,0.00158244728593362,0.00123133929975749,"Ank2/Slc8a1/Pde4d/Dmd",4
"GO:0008037","GO:0008037","cell recognition","7/139","126/17643",6.26737934231131e-05,0.0017437242081275,0.00135683265059862,"Robo1/Ncam1/Cadm1/Gap43/Cntn5/Cntnap2/App",7
"GO:0010001","GO:0010001","glial cell differentiation","10/139","274/17643",6.354852934288e-05,0.00174863206016013,0.00136065156522465,"Nfix/Nfib/Cdh2/Gap43/Dab1/Cntnap2/Nrg1/Tenm4/App/Dmd",10
"GO:2000649","GO:2000649","regulation of sodium ion transmembrane transporter activity","5/139","54/17643",6.54932181722514e-05,0.0017776751524591,0.00138325067563553,"Ank3/Agrn/Grip1/Hecw1/Dmd",5
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","8/139","172/17643",6.60238774675304e-05,0.0017776751524591,0.00138325067563553,"Cacna1d/Ank2/Cacna1c/Cacna1b/Slc8a1/Pde4d/Akap6/Dmd",8
"GO:0031223","GO:0031223","auditory behavior","3/139","11/17643",7.53930179569493e-05,0.00200834166983193,0.00156273769583777,"Nrxn2/Cntnap2/Nrxn1",3
"GO:0034767","GO:0034767","positive regulation of monoatomic ion transmembrane transport","8/139","176/17643",7.75889668248524e-05,0.00201646802669894,0.00156906100446432,"Cacna1d/Ank2/Cacna1c/Ank3/Dpp6/Asic2/Akap6/Dmd",8
"GO:0021587","GO:0021587","cerebellum morphogenesis","5/139","56/17643",7.81139770726026e-05,0.00201646802669894,0.00156906100446432,"Nfix/Dab1/Cntnap2/Nrxn1/Herc1",5
"GO:0086001","GO:0086001","cardiac muscle cell action potential","5/139","56/17643",7.81139770726026e-05,0.00201646802669894,0.00156906100446432,"Cacna1d/Ank2/Cacna1c/Ank3/Dmd",5
"GO:0010976","GO:0010976","positive regulation of neuron projection development","9/139","231/17643",9.07830755432096e-05,0.00231147356289922,0.00179861172226604,"Bcl11a/Mapt/Dcc/Negr1/Nrxn1/Nrg1/Tenm3/Camk1d/Dmd",9
"GO:0021575","GO:0021575","hindbrain morphogenesis","5/139","58/17643",9.25285810989927e-05,0.00231147356289922,0.00179861172226604,"Nfix/Dab1/Cntnap2/Nrxn1/Herc1",5
"GO:0061337","GO:0061337","cardiac conduction","5/139","58/17643",9.25285810989927e-05,0.00231147356289922,0.00179861172226604,"Cacna1d/Ank2/Cacna1c/Slc8a1/Pde4d",5
"GO:0002028","GO:0002028","regulation of sodium ion transport","6/139","93/17643",9.32343569699764e-05,0.00231147356289922,0.00179861172226604,"Ank3/Agrn/Slc8a1/Grip1/Hecw1/Dmd",6
"GO:0050770","GO:0050770","regulation of axonogenesis","8/139","181/17643",9.43643102307798e-05,0.00231655130213601,0.00180256283010499,"Bcl11a/Mapt/Macf1/Robo1/Ttc3/Cdh2/Ptprs/Dab1",8
"GO:0006936","GO:0006936","muscle contraction","10/139","288/17643",9.60832243584766e-05,0.0023342539805872,0.00181633769886788,"Cacna1d/Ank2/Cacna1c/Agrn/Chrm3/Slc8a1/Pde4d/Prkg1/Akap6/Dmd",10
"GO:0090257","GO:0090257","regulation of muscle system process","9/139","233/17643",9.69498458390851e-05,0.0023342539805872,0.00181633769886788,"Ank2/Cacna1c/Agrn/Chrm3/Slc8a1/Pde4d/Prkg1/Akap6/Dmd",9
"GO:1990806","GO:1990806","ligand-gated ion channel signaling pathway","4/139","31/17643",9.8406238840789e-05,0.00234675449578415,0.00182606464254938,"Gria2/Chrm3/Gnaq/App",4
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","9/139","237/17643",0.000110342606067167,0.0025916323266401,0.00201660981865261,"Cacna1d/Ank2/Cacna1c/Ank3/Sorbs1/Dpp6/Asic2/Akap6/Dmd",9
"GO:0070296","GO:0070296","sarcoplasmic reticulum calcium ion transport","4/139","32/17643",0.000111779669040388,0.0025916323266401,0.00201660981865261,"Ank2/Slc8a1/Pde4d/Dmd",4
"GO:0090075","GO:0090075","relaxation of muscle","4/139","32/17643",0.000111779669040388,0.0025916323266401,0.00201660981865261,"Slc8a1/Pde4d/Prkg1/Akap6",4
"GO:0099601","GO:0099601","regulation of neurotransmitter receptor activity","5/139","61/17643",0.000117883460269254,0.00269423081626389,0.00209644410665228,"Prrt1/Nrxn2/Grip1/Nrxn1/App",5
"GO:0048813","GO:0048813","dendrite morphogenesis","8/139","187/17643",0.000118356785059516,0.00269423081626389,0.00209644410665228,"Robo1/Ube3a/Rere/Ctnna2/Cntnap2/Grip1/Ctnnd2/Hecw1",8
"GO:0095500","GO:0095500","acetylcholine receptor signaling pathway","4/139","34/17643",0.000142408093442337,0.00321252131513164,0.00249973808403761,"Sorbs1/Ly6h/Chrm3/Gnaq",4
"GO:1902305","GO:1902305","regulation of sodium ion transmembrane transport","5/139","64/17643",0.00014825259090051,0.00331450435370426,0.00257909347515831,"Ank3/Agrn/Grip1/Hecw1/Dmd",5
"GO:0051962","GO:0051962","positive regulation of nervous system development","11/139","365/17643",0.000150509276361439,0.00333517900892958,0.00259518090866347,"Bcl11a/Mapt/Macf1/Robo1/Agrn/Lingo2/Grip1/Nrxn1/Nrg1/Tenm4/Asic2",11
