gene,frequency,go_terms,Source_File
Kcnq5,3,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Kcnj3,3,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Cacna1b,3,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); heart contraction (GO:0060047, p=2.87e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Gja1,3,"regulation of membrane potential (GO:0042391, p=1.31e-02); heart contraction (GO:0060047, p=2.87e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Ntrk2,3,"regulation of membrane potential (GO:0042391, p=1.31e-02); action potential (GO:0001508, p=2.96e-02); memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Asic2,2,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.63e-04); regulation of membrane potential (GO:0042391, p=1.31e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Slc1a3,2,"potassium ion transmembrane transport (GO:0071805, p=2.21e-03); potassium ion transport (GO:0006813, p=7.52e-03)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Sgcz,2,"heart contraction (GO:0060047, p=2.87e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Sgcd,2,"heart contraction (GO:0060047, p=2.87e-02); heart process (GO:0003015, p=4.36e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Celf4,1,"regulation of membrane potential (GO:0042391, p=1.31e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Apoe,1,"memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Tuba1a,1,"memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Snap25,1,"memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Brinp1,1,"memory (GO:0007613, p=4.93e-02)",gene_report_Astrocytes_24hrvs1hr_PTZ.csv
Grin1,58,"axonogenesis (GO:0007409, p=8.77e-18); regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); postsynapse organization (GO:0099173, p=1.39e-10); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); regulation of synapse organization (GO:0050807, p=5.32e-08); regulation of synapse structure or activity (GO:0050803, p=9.10e-08); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06); dendrite morphogenesis (GO:0048813, p=2.02e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); regulation of postsynaptic membrane potential (GO:0060078, p=5.39e-06); dendrite development (GO:0016358, p=6.71e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); adult behavior (GO:0030534, p=8.99e-06); regulation of axonogenesis (GO:0050770, p=9.75e-06); chemical synaptic transmission, postsynaptic (GO:0099565, p=1.35e-05); associative learning (GO:0008306, p=1.87e-05); learning or memory (GO:0007611, p=2.29e-05); regulation of nervous system process (GO:0031644, p=3.98e-05); adult locomotory behavior (GO:0008344, p=4.18e-05); positive regulation of cation transmembrane transport (GO:1904064, p=4.34e-05); learning (GO:0007612, p=7.83e-05); protein localization to cell junction (GO:1902414, p=8.11e-05); memory (GO:0007613, p=9.18e-05); positive regulation of synaptic transmission (GO:0050806, p=2.10e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); protein localization to synapse (GO:0035418, p=2.76e-04); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=3.56e-04); positive regulation of monoatomic ion transport (GO:0043270, p=3.67e-04); regulation of synaptic transmission, glutamatergic (GO:0051966, p=3.88e-04); positive regulation of cell projection organization (GO:0031346, p=4.38e-04); positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.31e-03); regulation of cell junction assembly (GO:1901888, p=1.58e-03); protein localization to cell periphery (GO:1990778, p=3.03e-03); positive regulation of calcium ion transport (GO:0051928, p=3.22e-03); calcium ion homeostasis (GO:0055074, p=3.67e-03); regulation of synaptic plasticity (GO:0048167, p=4.31e-03); intracellular calcium ion homeostasis (GO:0006874, p=5.61e-03); regulation of dendrite development (GO:0050773, p=7.91e-03); regulation of synapse assembly (GO:0051963, p=7.91e-03); regulation of postsynapse organization (GO:0099175, p=7.91e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); protein localization to postsynaptic membrane (GO:1903539, p=8.11e-03); sensory perception (GO:0007600, p=8.98e-03); protein localization to postsynapse (GO:0062237, p=9.10e-03); positive regulation of transmembrane transport (GO:0034764, p=1.27e-02); neuromuscular process (GO:0050905, p=1.27e-02); forebrain development (GO:0030900, p=1.29e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02); startle response (GO:0001964, p=2.20e-02); dendritic spine organization (GO:0097061, p=3.54e-02); telencephalon development (GO:0021537, p=3.65e-02); modulation of excitatory postsynaptic potential (GO:0098815, p=4.41e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Cacna1c,47,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); action potential (GO:0001508, p=2.53e-11); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); adult behavior (GO:0030534, p=8.99e-06); membrane depolarization during action potential (GO:0086010, p=9.35e-06); associative learning (GO:0008306, p=1.87e-05); learning or memory (GO:0007611, p=2.29e-05); adult locomotory behavior (GO:0008344, p=4.18e-05); positive regulation of cation transmembrane transport (GO:1904064, p=4.34e-05); learning (GO:0007612, p=7.83e-05); membrane depolarization (GO:0051899, p=1.01e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=3.56e-04); positive regulation of monoatomic ion transport (GO:0043270, p=3.67e-04); regulation of action potential (GO:0098900, p=6.04e-04); calcium ion import (GO:0070509, p=9.14e-04); positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.31e-03); calcium ion import across plasma membrane (GO:0098703, p=1.53e-03); heart contraction (GO:0060047, p=1.92e-03); positive regulation of calcium ion transport (GO:0051928, p=3.22e-03); calcium ion homeostasis (GO:0055074, p=3.67e-03); heart process (GO:0003015, p=3.84e-03); membrane depolarization during cardiac muscle cell action potential (GO:0086012, p=4.61e-03); intracellular calcium ion homeostasis (GO:0006874, p=5.61e-03); regulation of heart contraction (GO:0008016, p=7.82e-03); insulin secretion (GO:0030073, p=8.09e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); regulation of blood circulation (GO:1903522, p=8.51e-03); amide transport (GO:0042886, p=9.63e-03); regulated exocytosis (GO:0045055, p=9.91e-03); positive regulation of transmembrane transport (GO:0034764, p=1.27e-02); hormone secretion (GO:0046879, p=1.42e-02); peptide hormone secretion (GO:0030072, p=1.47e-02); hormone transport (GO:0009914, p=1.78e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02); peptide secretion (GO:0002790, p=1.90e-02); walking behavior (GO:0090659, p=1.91e-02); cell communication involved in cardiac conduction (GO:0086065, p=2.20e-02); regulation of hormone secretion (GO:0046883, p=2.78e-02); peptide transport (GO:0015833, p=3.27e-02); positive regulation of protein localization (GO:1903829, p=3.71e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Cacnb4,43,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); action potential (GO:0001508, p=2.53e-11); transmission of nerve impulse (GO:0019226, p=5.31e-09); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); adult behavior (GO:0030534, p=8.99e-06); neurotransmitter secretion (GO:0007269, p=2.07e-05); signal release from synapse (GO:0099643, p=2.07e-05); synaptic vesicle cycle (GO:0099504, p=2.77e-05); adult locomotory behavior (GO:0008344, p=4.18e-05); positive regulation of cation transmembrane transport (GO:1904064, p=4.34e-05); regulation of transmembrane transporter activity (GO:0022898, p=5.51e-05); vesicle-mediated transport in synapse (GO:0099003, p=5.51e-05); regulation of neurotransmitter levels (GO:0001505, p=7.63e-05); regulation of transporter activity (GO:0032409, p=1.04e-04); neurotransmitter transport (GO:0006836, p=1.29e-04); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.01e-04); regulation of neurotransmitter secretion (GO:0046928, p=3.06e-04); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=3.56e-04); positive regulation of monoatomic ion transport (GO:0043270, p=3.67e-04); synaptic vesicle exocytosis (GO:0016079, p=8.18e-04); positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.31e-03); regulation of neurotransmitter transport (GO:0051588, p=1.82e-03); positive regulation of calcium ion transport (GO:0051928, p=3.22e-03); calcium ion homeostasis (GO:0055074, p=3.67e-03); positive regulation of calcium ion transmembrane transporter activity (GO:1901021, p=3.79e-03); intracellular calcium ion homeostasis (GO:0006874, p=5.61e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); sensory perception (GO:0007600, p=8.98e-03); regulated exocytosis (GO:0045055, p=9.91e-03); positive regulation of cation channel activity (GO:2001259, p=1.02e-02); positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.11e-02); positive regulation of transmembrane transport (GO:0034764, p=1.27e-02); positive regulation of transporter activity (GO:0032411, p=1.75e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02); walking behavior (GO:0090659, p=1.91e-02); regulation of synaptic vesicle exocytosis (GO:2000300, p=3.13e-02); positive regulation of protein localization (GO:1903829, p=3.71e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Cacna1d,43,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); action potential (GO:0001508, p=2.53e-11); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); membrane depolarization during action potential (GO:0086010, p=9.35e-06); potassium ion transmembrane transport (GO:0071805, p=2.65e-05); positive regulation of cation transmembrane transport (GO:1904064, p=4.34e-05); regulation of transmembrane transporter activity (GO:0022898, p=5.51e-05); membrane depolarization (GO:0051899, p=1.01e-04); regulation of transporter activity (GO:0032409, p=1.04e-04); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.01e-04); potassium ion transport (GO:0006813, p=2.14e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=3.56e-04); positive regulation of monoatomic ion transport (GO:0043270, p=3.67e-04); calcium ion import (GO:0070509, p=9.14e-04); positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.31e-03); calcium ion import across plasma membrane (GO:0098703, p=1.53e-03); heart contraction (GO:0060047, p=1.92e-03); positive regulation of calcium ion transport (GO:0051928, p=3.22e-03); heart process (GO:0003015, p=3.84e-03); membrane depolarization during cardiac muscle cell action potential (GO:0086012, p=4.61e-03); regulation of heart contraction (GO:0008016, p=7.82e-03); insulin secretion (GO:0030073, p=8.09e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); regulation of blood circulation (GO:1903522, p=8.51e-03); sensory perception (GO:0007600, p=8.98e-03); amide transport (GO:0042886, p=9.63e-03); second-messenger-mediated signaling (GO:0019932, p=1.12e-02); positive regulation of transmembrane transport (GO:0034764, p=1.27e-02); calcium-mediated signaling (GO:0019722, p=1.27e-02); hormone secretion (GO:0046879, p=1.42e-02); peptide hormone secretion (GO:0030072, p=1.47e-02); hormone transport (GO:0009914, p=1.78e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02); peptide secretion (GO:0002790, p=1.90e-02); cell communication involved in cardiac conduction (GO:0086065, p=2.20e-02); regulation of hormone secretion (GO:0046883, p=2.78e-02); peptide transport (GO:0015833, p=3.27e-02); positive regulation of protein localization (GO:1903829, p=3.71e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Cacna1a,41,"axonogenesis (GO:0007409, p=8.77e-18); regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); synapse assembly (GO:0007416, p=4.33e-10); cell junction assembly (GO:0034329, p=5.61e-10); transmission of nerve impulse (GO:0019226, p=5.31e-09); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06); dendrite morphogenesis (GO:0048813, p=2.02e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); dendrite development (GO:0016358, p=6.71e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); adult behavior (GO:0030534, p=8.99e-06); regulation of axonogenesis (GO:0050770, p=9.75e-06); neurotransmitter secretion (GO:0007269, p=2.07e-05); signal release from synapse (GO:0099643, p=2.07e-05); synaptic vesicle cycle (GO:0099504, p=2.77e-05); adult locomotory behavior (GO:0008344, p=4.18e-05); regulation of transmembrane transporter activity (GO:0022898, p=5.51e-05); vesicle-mediated transport in synapse (GO:0099003, p=5.51e-05); regulation of neurotransmitter levels (GO:0001505, p=7.63e-05); membrane depolarization (GO:0051899, p=1.01e-04); regulation of transporter activity (GO:0032409, p=1.04e-04); neurotransmitter transport (GO:0006836, p=1.29e-04); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.01e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); regulation of neurotransmitter secretion (GO:0046928, p=3.06e-04); synaptic vesicle exocytosis (GO:0016079, p=8.18e-04); calcium ion import (GO:0070509, p=9.14e-04); calcium ion import across plasma membrane (GO:0098703, p=1.53e-03); regulation of neurotransmitter transport (GO:0051588, p=1.82e-03); calcium ion homeostasis (GO:0055074, p=3.67e-03); intracellular calcium ion homeostasis (GO:0006874, p=5.61e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); regulated exocytosis (GO:0045055, p=9.91e-03); neuromuscular process (GO:0050905, p=1.27e-02); central nervous system neuron differentiation (GO:0021953, p=1.61e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02); walking behavior (GO:0090659, p=1.91e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Cacna1e,36,"regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); transmission of nerve impulse (GO:0019226, p=5.31e-09); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06); associative learning (GO:0008306, p=1.87e-05); neurotransmitter secretion (GO:0007269, p=2.07e-05); signal release from synapse (GO:0099643, p=2.07e-05); learning or memory (GO:0007611, p=2.29e-05); synaptic vesicle cycle (GO:0099504, p=2.77e-05); vesicle-mediated transport in synapse (GO:0099003, p=5.51e-05); regulation of neurotransmitter levels (GO:0001505, p=7.63e-05); learning (GO:0007612, p=7.83e-05); neurotransmitter transport (GO:0006836, p=1.29e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); regulation of neurotransmitter secretion (GO:0046928, p=3.06e-04); synaptic vesicle exocytosis (GO:0016079, p=8.18e-04); calcium ion import (GO:0070509, p=9.14e-04); calcium ion import across plasma membrane (GO:0098703, p=1.53e-03); regulation of neurotransmitter transport (GO:0051588, p=1.82e-03); heart contraction (GO:0060047, p=1.92e-03); heart process (GO:0003015, p=3.84e-03); regulation of heart contraction (GO:0008016, p=7.82e-03); insulin secretion (GO:0030073, p=8.09e-03); regulation of blood circulation (GO:1903522, p=8.51e-03); sensory perception (GO:0007600, p=8.98e-03); amide transport (GO:0042886, p=9.63e-03); regulated exocytosis (GO:0045055, p=9.91e-03); hormone secretion (GO:0046879, p=1.42e-02); peptide hormone secretion (GO:0030072, p=1.47e-02); hormone transport (GO:0009914, p=1.78e-02); peptide secretion (GO:0002790, p=1.90e-02); regulation of hormone secretion (GO:0046883, p=2.78e-02); regulation of synaptic vesicle exocytosis (GO:2000300, p=3.13e-02); peptide transport (GO:0015833, p=3.27e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Grin2a,34,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); locomotory behavior (GO:0007626, p=2.02e-12); action potential (GO:0001508, p=2.53e-11); postsynapse organization (GO:0099173, p=1.39e-10); synaptic transmission, glutamatergic (GO:0035249, p=2.06e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); cognition (GO:0050890, p=8.85e-07); calcium ion transport (GO:0006816, p=1.25e-06); regulation of postsynaptic membrane potential (GO:0060078, p=5.39e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); chemical synaptic transmission, postsynaptic (GO:0099565, p=1.35e-05); associative learning (GO:0008306, p=1.87e-05); learning or memory (GO:0007611, p=2.29e-05); regulation of nervous system process (GO:0031644, p=3.98e-05); regulation of transmembrane transporter activity (GO:0022898, p=5.51e-05); learning (GO:0007612, p=7.83e-05); protein localization to cell junction (GO:1902414, p=8.11e-05); memory (GO:0007613, p=9.18e-05); regulation of transporter activity (GO:0032409, p=1.04e-04); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.01e-04); positive regulation of synaptic transmission (GO:0050806, p=2.10e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); protein localization to synapse (GO:0035418, p=2.76e-04); regulation of synaptic transmission, glutamatergic (GO:0051966, p=3.88e-04); protein localization to cell periphery (GO:1990778, p=3.03e-03); regulation of synaptic plasticity (GO:0048167, p=4.31e-03); protein localization to postsynaptic membrane (GO:1903539, p=8.11e-03); sensory perception (GO:0007600, p=8.98e-03); protein localization to postsynapse (GO:0062237, p=9.10e-03); neuromuscular process (GO:0050905, p=1.27e-02); startle response (GO:0001964, p=2.20e-02); dendritic spine organization (GO:0097061, p=3.54e-02); modulation of excitatory postsynaptic potential (GO:0098815, p=4.41e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Atp1b1,34,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); potassium ion transmembrane transport (GO:0071805, p=2.65e-05); positive regulation of cation transmembrane transport (GO:1904064, p=4.34e-05); regulation of transmembrane transporter activity (GO:0022898, p=5.51e-05); sodium ion transport (GO:0006814, p=7.32e-05); regulation of transporter activity (GO:0032409, p=1.04e-04); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.01e-04); potassium ion transport (GO:0006813, p=2.14e-04); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=3.56e-04); positive regulation of monoatomic ion transport (GO:0043270, p=3.67e-04); sodium ion transmembrane transport (GO:0035725, p=5.88e-04); positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.31e-03); heart contraction (GO:0060047, p=1.92e-03); protein localization to cell periphery (GO:1990778, p=3.03e-03); positive regulation of calcium ion transport (GO:0051928, p=3.22e-03); calcium ion homeostasis (GO:0055074, p=3.67e-03); positive regulation of calcium ion transmembrane transporter activity (GO:1901021, p=3.79e-03); heart process (GO:0003015, p=3.84e-03); intracellular calcium ion homeostasis (GO:0006874, p=5.61e-03); regulation of heart contraction (GO:0008016, p=7.82e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); regulation of blood circulation (GO:1903522, p=8.51e-03); positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.11e-02); second-messenger-mediated signaling (GO:0019932, p=1.12e-02); positive regulation of transmembrane transport (GO:0034764, p=1.27e-02); calcium-mediated signaling (GO:0019722, p=1.27e-02); regulation of sodium ion transport (GO:0002028, p=1.31e-02); positive regulation of transporter activity (GO:0032411, p=1.75e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
Akap6,34,"regulation of membrane potential (GO:0042391, p=5.22e-16); regulation of monoatomic ion transmembrane transport (GO:0034765, p=1.86e-12); developmental cell growth (GO:0048588, p=3.60e-07); calcium ion transmembrane transport (GO:0070588, p=8.45e-07); calcium ion transport (GO:0006816, p=1.25e-06); regulation of metal ion transport (GO:0010959, p=4.78e-06); regulation of monoatomic cation transmembrane transport (GO:1904062, p=8.39e-06); potassium ion transmembrane transport (GO:0071805, p=2.65e-05); positive regulation of cation transmembrane transport (GO:1904064, p=4.34e-05); regulation of transmembrane transporter activity (GO:0022898, p=5.51e-05); regulation of transporter activity (GO:0032409, p=1.04e-04); regulation of monoatomic ion transmembrane transporter activity (GO:0032412, p=2.01e-04); potassium ion transport (GO:0006813, p=2.14e-04); calcium ion transmembrane import into cytosol (GO:0097553, p=2.68e-04); positive regulation of monoatomic ion transmembrane transport (GO:0034767, p=3.56e-04); positive regulation of monoatomic ion transport (GO:0043270, p=3.67e-04); positive regulation of calcium ion transmembrane transport (GO:1904427, p=1.31e-03); heart contraction (GO:0060047, p=1.92e-03); cell growth (GO:0016049, p=3.09e-03); positive regulation of calcium ion transport (GO:0051928, p=3.22e-03); calcium ion homeostasis (GO:0055074, p=3.67e-03); positive regulation of calcium ion transmembrane transporter activity (GO:1901021, p=3.79e-03); heart process (GO:0003015, p=3.84e-03); intracellular calcium ion homeostasis (GO:0006874, p=5.61e-03); regulation of heart contraction (GO:0008016, p=7.82e-03); regulation of calcium ion transport (GO:0051924, p=8.11e-03); regulation of blood circulation (GO:1903522, p=8.51e-03); positive regulation of cation channel activity (GO:2001259, p=1.02e-02); positive regulation of ion transmembrane transporter activity (GO:0032414, p=1.11e-02); second-messenger-mediated signaling (GO:0019932, p=1.12e-02); positive regulation of transmembrane transport (GO:0034764, p=1.27e-02); calcium-mediated signaling (GO:0019722, p=1.27e-02); positive regulation of transporter activity (GO:0032411, p=1.75e-02); regulation of calcium ion transmembrane transport (GO:1903169, p=1.81e-02)",gene_report_Astrocytes_24hrvs1hr_SAL.csv
