gene,GO,GO_ont,GO_q,DEG_adjp,GO_fc,DEG_log2FC,ID,GO_p,GO_r,GO_ct,GO_cp,DEG_p,DEG_pct1,DEG_pct2,DEG_reg,DEG_sig,DEG_FDR,DEG_edit
Hpca,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.5589179706606703e-9,4.35010947393337,-1.19084951835721,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.02164649285769e-13,0.135,0.265,Down,Sig,8.591943635746428,Hpca
Syt4,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.5796239166022e-9,4.35010947393337,-0.700075992121627,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.02991332958127e-13,0.361,0.526,Down,Sig,8.588443605218876,Syt4
Atp2a2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.6180032278618903e-9,4.35010947393337,-0.4601419078457,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.0452362470004e-13,0.649,0.796,Down,Sig,8.582029822322413,Atp2a2
Dtnbp1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.85588920166587e-8,4.35010947393337,0.563792257385414,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,7.409626708451579e-13,0.459,0.394,Up,Sig,7.731447955133033,Dtnbp1
Btbd9,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.18307215910355e-8,4.35010947393337,-0.513504321382569,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,8.71590273926436e-13,0.731,0.835,Down,Sig,7.66093190891635,Btbd9
Cacna1b,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.70415371128659e-8,4.35010947393337,0.24584194690016,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.0796317767743e-12,0.848,0.877,Up,Sig,7.567968625575726,Cacna1b
Actb,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,3.48879861592151e-8,4.35010947393337,-0.322271915339667,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.39290079287799e-12,0.629,0.767,Down,Sig,7.457324098628189,Actb
Rock1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,4.75468263202754e-8,4.35010947393337,0.328947887828248,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.8983042408382398e-12,0.68,0.671,Up,Sig,7.32287846626791,Rock1
Dvl1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,6.11120848194663e-8,4.35010947393337,0.687899996342434,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,2.43989638757002e-12,0.466,0.405,Up,Sig,7.213872900208407,Dvl1
Ap2b1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.61455993303614e-7,4.35010947393337,-0.566044962153216,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,6.4461210246182596e-12,0.524,0.659,Down,Sig,6.791945829182726,Ap2b1
Pacsin1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,7.31209000125918e-7,4.35010947393337,0.340920476778793,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,2.91934762696498e-11,0.501,0.491,Up,Sig,6.135958471703974,Pacsin1
Hip1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.61390464577372e-6,4.35010947393337,0.785315604272983,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.04359989051532e-10,0.256,0.168,Up,Sig,5.582710259360537,Hip1
Ppp3r1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,4.02091848649916e-6,4.35010947393337,-0.8916100715739,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.6053493378445201e-10,0.193,0.324,Down,Sig,5.395674730981257,Ppp3r1
Nsg1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.05186345247078e-5,4.35010947393337,-0.555922075947603,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,4.1995586396406004e-10,0.32,0.464,Down,Sig,4.978040634409867,Nsg1
Prepl,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.13643771490021e-5,4.35010947393337,-0.585832889344084,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,4.53722088433827e-10,0.43,0.584,Down,Sig,4.9444543618012196,Prepl
Trim9,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,1.28343041531179e-5,4.35010947393337,-0.535742006454547,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,5.12408837510195e-10,0.57,0.658,Down,Sig,4.8916276728167185,Trim9
Rapgef4,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.2814005325483e-5,4.35010947393337,0.238833998588526,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,9.10847819119374e-10,0.759,0.775,Up,Sig,4.641798461411195,Rapgef4
Usp46,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,2.67745920889288e-5,4.35010947393337,0.496252558137598,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.06897401241382e-9,0.347,0.315,Up,Sig,4.572277136924745,Usp46
Caly,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,3.5545526067043e-4,4.35010947393337,-0.45572134216007,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.41915303497597e-8,0.26,0.389,Down,Sig,3.4492150539122317,Caly
Atp6v1a,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,3.5595120208556e-4,4.35010947393337,-0.479572865947878,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.42113307815534e-8,0.371,0.521,Down,Sig,3.4486095360652467,Atp6v1a
Ppp3cc,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,9.9654481411905e-4,4.35010947393337,0.547619523369112,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,3.97869930178886e-8,0.264,0.224,Up,Sig,3.001503166519943,Ppp3cc
Unc13a,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00208454188913506,4.35010947393337,0.319779927804281,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,8.32252121665292e-8,0.561,0.559,Up,Sig,2.680989373247005,Unc13a
Vamp2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00331173512749437,4.35010947393337,-0.671227275475382,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.32220829939489e-7,0.196,0.311,Down,Sig,2.4799444053616853,Vamp2
Syndig1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00384493763999603,4.35010947393337,0.292249833425273,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.53508908851201e-7,0.525,0.481,Up,Sig,2.415110699510206,Syndig1
Efnb2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00396200606757409,4.35010947393337,0.758605826967136,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.58182858928179e-7,0.271,0.209,Up,Sig,2.402084863701074,Efnb2
Atp6v1e1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00476168888537572,4.35010947393337,-0.498674338804083,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.90110148336157e-7,0.167,0.268,Down,Sig,2.3222389835171295,Atp6v1e1
Snap25,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00537456496656852,4.35010947393337,-0.418420506943659,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,2.14579189785943e-7,0.696,0.825,Down,Sig,2.2696566830895506,Snap25
Bin1,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00672082507825074,4.35010947393337,0.210504883482951,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,2.68328545464556e-7,0.331,0.363,Up,Sig,2.1725774077593245,Bin1
Cltc,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00758696195045768,4.35010947393337,-0.396403283211403,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,3.02909009081235e-7,0.537,0.681,Down,Sig,2.1199320939704265,Cltc
Grik5,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00822882596484513,4.35010947393337,0.287912645669578,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,3.28535392056738e-7,0.533,0.524,Up,Sig,2.0846621226687203,Grik5
Rap1a,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.00937573657843008,4.35010947393337,-0.497795195121294,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,3.74325730763368e-7,0.248,0.372,Down,Sig,2.027994603132869,Rap1a
Itsn2,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.0202266035726072,4.35010947393337,0.201127140472624,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,8.07545956506059e-7,0.586,0.618,Up,Sig,1.6940770373237206,Itsn2
Camk2a,vesicle-mediated transport in synapse,BP,3.0245434923149504e-15,0.0372857334731825,4.35010947393337,0.203467497982552,GO:0099003,7.744787918326689e-19,0.0645994832041344,ExN_CA1,24hrvs1hr_PTZ,1.48863071318651e-6,0.806,0.791,Up,Sig,1.4284573091853017,Camk2a
Rpl9,cytoplasmic translation,BP,9.423787134882971e-14,2.76255232731466e-15,5.74085558426644,-0.73708782793277,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.10294738983298e-19,0.146,0.314,Down,Sig,14.558689486972433,Rpl9
Rpl13,cytoplasmic translation,BP,9.423787134882971e-14,6.56014154639878e-13,5.74085558426644,-0.760804353200628,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,2.61913264917905e-17,0.237,0.421,Down,Sig,12.18308678986874,Rpl13
Rpl19,cytoplasmic translation,BP,9.423787134882971e-14,7.33375895686363e-12,5.74085558426644,-0.77284529521803,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,2.92799894472936e-16,0.187,0.354,Down,Sig,11.13467336836292,Rpl19
Rplp1,cytoplasmic translation,BP,9.423787134882971e-14,1.03884092333407e-10,5.74085558426644,-0.497304748955637,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,4.14756626875101e-15,0.311,0.486,Down,Sig,9.983450950428855,Rplp1
Eif4a2,cytoplasmic translation,BP,9.423787134882971e-14,1.5103657290434701e-10,5.74085558426644,-0.495937974957157,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,6.030126278769811e-15,0.429,0.621,Down,Sig,9.820917877293999,Eif4a2
Rpl28,cytoplasmic translation,BP,9.423787134882971e-14,1.60933500184817e-9,5.74085558426644,-0.464977080565793,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,6.42526051761957e-14,0.146,0.282,Down,Sig,8.79335354302939,Rpl28
Rps19,cytoplasmic translation,BP,9.423787134882971e-14,1.4589598978748e-8,5.74085558426644,-0.706204837920388,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,5.82488880055414e-13,0.143,0.275,Down,Sig,7.835956645303972,Rps19
Rps23,cytoplasmic translation,BP,9.423787134882971e-14,4.53249739839245e-8,5.74085558426644,-0.672842082085715,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.80959691715273e-12,0.169,0.309,Down,Sig,7.343662436513012,Rps23
Eif2s3y,cytoplasmic translation,BP,9.423787134882971e-14,4.53428690668986e-8,5.74085558426644,0.480820694496029,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.81031137728664e-12,0.431,0.324,Up,Sig,7.343491003386816,Eif2s3y
Rps10,cytoplasmic translation,BP,9.423787134882971e-14,4.80316717017912e-8,5.74085558426644,-0.714169592983146,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.91766166414306e-12,0.172,0.311,Down,Sig,7.31847229784513,Rps10
Pkm,cytoplasmic translation,BP,9.423787134882971e-14,6.70672966683261e-8,5.74085558426644,-0.68151903240874,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,2.67765786993756e-12,0.219,0.372,Down,Sig,7.173489198738966,Pkm
Rpl17,cytoplasmic translation,BP,9.423787134882971e-14,5.96129757142427e-7,5.74085558426644,-0.640460186175598,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,2.3800445448254398e-11,0.196,0.334,Down,Sig,6.224659198854638,Rpl17
Rps3,cytoplasmic translation,BP,9.423787134882971e-14,1.1659153834898e-6,5.74085558426644,-0.734911286244165,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,4.6549103025903396e-11,0.156,0.282,Down,Sig,5.933332967430298,Rps3
Rps3a1,cytoplasmic translation,BP,9.423787134882971e-14,1.7425724401452e-6,5.74085558426644,-0.598007583902143,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,6.957210205394679e-11,0.167,0.296,Down,Sig,5.758809158881945,Rps3a1
Rps13,cytoplasmic translation,BP,9.423787134882971e-14,1.88417864038162e-6,5.74085558426644,-0.716020459668462,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,7.52257212592972e-11,0.147,0.273,Down,Sig,5.724877923807453,Rps13
Fau,cytoplasmic translation,BP,9.423787134882971e-14,3.43109956382016e-6,5.74085558426644,-0.445918479570456,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.36986448030509e-10,0.223,0.355,Down,Sig,5.464566679381799,Fau
Rpl18a,cytoplasmic translation,BP,9.423787134882971e-14,3.75533327987058e-6,5.74085558426644,-0.447904746090246,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.49931460049929e-10,0.165,0.288,Down,Sig,5.425351514003158,Rpl18a
Rpl7a,cytoplasmic translation,BP,9.423787134882971e-14,7.74276748765372e-6,5.74085558426644,-0.725033663928685,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,3.09129535978509e-10,0.153,0.275,Down,Sig,5.111103782237841,Rpl7a
Rps7,cytoplasmic translation,BP,9.423787134882971e-14,1.12409342478887e-5,5.74085558426644,-0.835370966566508,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,4.48793637876339e-10,0.145,0.26,Down,Sig,4.949197592517705,Rps7
Rps14,cytoplasmic translation,BP,9.423787134882971e-14,1.34878749991935e-5,5.74085558426644,-0.543874389718547,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,5.38502615051442e-10,0.23,0.365,Down,Sig,4.870056467586775,Rps14
Rpl4,cytoplasmic translation,BP,9.423787134882971e-14,4.14110460771835e-5,5.74085558426644,-0.795136947125902,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.6533335759645201e-9,0.151,0.267,Down,Sig,4.382883798722197,Rpl4
Rpl8,cytoplasmic translation,BP,9.423787134882971e-14,5.06736012052584e-5,5.74085558426644,-0.464089747301568,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,2.02314054398764e-9,0.174,0.295,Down,Sig,4.2952182307399775,Rpl8
Rpl11,cytoplasmic translation,BP,9.423787134882971e-14,6.5529436234124e-4,5.74085558426644,-0.556721702932482,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,2.61625888266559e-8,0.172,0.28,Down,Sig,3.1835635683701584,Rpl11
Csde1,cytoplasmic translation,BP,9.423787134882971e-14,0.001312114201217,5.74085558426644,-0.451640600033261,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,5.23860822141175e-8,0.405,0.558,Down,Sig,2.8820283640457656,Csde1
Rpl18,cytoplasmic translation,BP,9.423787134882971e-14,0.00149675640658877,5.74085558426644,-0.327924690991147,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,5.97579113901374e-8,0.159,0.259,Down,Sig,2.8248488742611513,Rpl18
Rpl24,cytoplasmic translation,BP,9.423787134882971e-14,0.00384422080378067,5.74085558426644,-0.622654381746108,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.53480289207517e-7,0.162,0.268,Down,Sig,2.415191675345452,Rpl24
Rps15,cytoplasmic translation,BP,9.423787134882971e-14,0.00444593291199619,5.74085558426644,-0.424660075997904,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.77503609693624e-7,0.285,0.411,Down,Sig,2.352037094981536,Rps15
Ncbp1,cytoplasmic translation,BP,9.423787134882971e-14,0.0105853120156077,5.74085558426644,-0.564257841020282,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,4.22617958861649e-7,0.226,0.347,Down,Sig,1.9752963360706857,Ncbp1
Rpl35a,cytoplasmic translation,BP,9.423787134882971e-14,0.0129949771112018,5.74085558426644,-0.402453969081648,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,5.18823695899779e-7,0.158,0.25,Down,Sig,1.8862244811100644,Rpl35a
Rpl27a,cytoplasmic translation,BP,9.423787134882971e-14,0.0138719470879234,5.74085558426644,-0.397199081313704,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,5.53836670576252e-7,0.226,0.339,Down,Sig,1.8578625764038164,Rpl27a
Rps24,cytoplasmic translation,BP,9.423787134882971e-14,0.0240734092816699,5.74085558426644,-0.591574559937102,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,9.61129447904736e-7,0.17,0.273,Down,Sig,1.61846240048659,Rps24
Rpsa,cytoplasmic translation,BP,9.423787134882971e-14,0.032116749056194,5.74085558426644,-0.339278682310473,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.28225931473605e-6,0.279,0.395,Down,Sig,1.4932684216252994,Rpsa
Rpl36,cytoplasmic translation,BP,9.423787134882971e-14,0.0342771948886757,5.74085558426644,-0.381643190864048,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.36851498737077e-6,0.17,0.267,Down,Sig,1.4649947262533924,Rpl36
Rpl13a,cytoplasmic translation,BP,9.423787134882971e-14,0.0392684803774848,5.74085558426644,-0.501882416899002,GO:0002181,4.82619826314761e-17,0.0439276485788114,ExN_CA1,24hrvs1hr_PTZ,1.56779176657822e-6,0.194,0.302,Down,Sig,1.405955904852385,Rpl13a
Prkcg,synaptic vesicle cycle,BP,9.18438315260929e-13,7.232629897345979e-41,4.31248690551016,0.721836071868865,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,2.88762322727112e-45,0.755,0.703,Up,Sig,40.14070375772229,Prkcg
Magi2,synaptic vesicle cycle,BP,9.18438315260929e-13,2.4430603652694097e-36,4.31248690551016,-0.478471799564663,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,9.75390412132952e-41,0.994,1,Down,Sig,35.612065801966594,Magi2
Rimbp2,synaptic vesicle cycle,BP,9.18438315260929e-13,2.80174851930543e-32,4.31248690551016,0.691149440300444,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,1.1185964464029299e-36,0.735,0.653,Up,Sig,31.552570848914403,Rimbp2
Stxbp5l,synaptic vesicle cycle,BP,9.18438315260929e-13,1.14590562782498e-17,4.31248690551016,-0.696704359029095,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,4.57502147093457e-22,0.853,0.917,Down,Sig,16.940851147641318,Stxbp5l
Rims2,synaptic vesicle cycle,BP,9.18438315260929e-13,2.1913970233321499e-16,4.31248690551016,-0.639000295049138,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,8.74913971067255e-21,0.758,0.882,Down,Sig,15.659278932607272,Rims2
Syt1,synaptic vesicle cycle,BP,9.18438315260929e-13,6.91767577526511e-16,4.31248690551016,-0.384252501072645,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,2.76187797950458e-20,0.975,0.989,Down,Sig,15.1600397968046,Syt1
Atp6v0a1,synaptic vesicle cycle,BP,9.18438315260929e-13,1.5921737362940702e-15,4.31248690551016,0.430863116460785,GO:0099504,7.055388675185039e-16,0.0542635658914729,ExN_CA1,24hrvs1hr_PTZ,6.35674426595627e-20,0.76,0.731,Up,Sig,14.798009544263543,Atp6v0a1
