"","venn_group","closestgene","comparison","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","ranges","cell_type","distance","Regulation"
"105","Shared","Tmem267","24hrvs1hr_PTZ",25,5.02465323518285e-13,-0.657614250644803,0.266,0.399,8.3194691010893e-08,"chr13-119487905-119488913","ExcitatoryNeuronsCA1",0,"Down"
"106","Shared","Tmem267","24hrvs1hr_PTZ",32,1.99476580317303e-08,-1.23673381529864,0.043,0.106,0.00330279358328769,"chr13-119596150-119597084","ExcitatoryNeuronsCA1",0,"Down"
"107","Shared","Tmem267","24hrvs1hr_PTZ",111,7.2539580344084e-09,-1.94004934490587,0.035,0.126,0.0012010595936311,"chr13-119596150-119597084","ExcitatoryNeuronsCA3",0,"Down"
"108","Shared","Tmem267","24hrvs1hr_PTZ",112,1.4506785365472e-08,-1.66897858896355,0.051,0.141,0.0024019319733173,"chr13-119601268-119602007","ExcitatoryNeuronsCA3",0,"Down"
"109","Shared","Tmem267","24hrvs1hr_PTZ",193,3.29031658048009e-08,-2.04300687260689,0.016,0.065,0.00544787587179831,"chr13-119596150-119597084","ExcitatoryNeuronsMatureDG",0,"Down"
"110","Shared","Tmem267","24hrvs1hr_PTZ",205,9.24679709373806e-08,-1.69851846752557,0.026,0.077,0.0153101993520149,"chr13-119601268-119602007","ExcitatoryNeuronsMatureDG",0,"Down"
"111","CA1_DG","Pdap1","24hrvs1hr_PTZ",31,1.75863289777318e-08,-1.30939093222573,0.039,0.098,0.00291182124782999,"chr5-145129980-145130884","ExcitatoryNeuronsCA1",0,"Down"
"112","CA1_DG","Pdap1","24hrvs1hr_PTZ",203,8.56915085876574e-08,-2.07383394947227,0.015,0.06,0.0141882001513842,"chr5-145129980-145130884","ExcitatoryNeuronsMatureDG",0,"Down"
"113","DG","Itga11","24hrvs1hr_PTZ",164,1.71224985579284e-13,-1.92083556474261,0.037,0.121,2.83502345373187e-08,"chr9-62763364-62764200","ExcitatoryNeuronsMatureDG",0,"Down"
"114","DG","Cr2","24hrvs1hr_PTZ",165,3.18405250378688e-12,-0.936181661309451,0.17,0.285,5.27193125209505e-07,"chr1-195241229-195242143","ExcitatoryNeuronsMatureDG",64512,"Down"
"115","DG","Slc25a30","24hrvs1hr_PTZ",166,1.38267215910347e-11,-1.82277741074321,0.033,0.111,2.28933177399239e-06,"chr14-75770994-75771933","ExcitatoryNeuronsMatureDG",0,"Down"
"116","DG","Gm16048","24hrvs1hr_PTZ",167,4.22173844422386e-11,-2.25169019067798,0.019,0.084,6.99005899425478e-06,"chr3-90451470-90452369","ExcitatoryNeuronsMatureDG",0,"Down"
"117","DG","Itpkb","24hrvs1hr_PTZ",169,3.31287035088447e-10,-1.72423290398742,0.034,0.105,5.48521882606994e-05,"chr1-180384194-180385117","ExcitatoryNeuronsMatureDG",0,"Down"
"118","DG","Sim1","24hrvs1hr_PTZ",170,4.70650824756738e-10,1.33009947178361,0.144,0.057,7.79270690074473e-05,"chr10-50894151-50895022","ExcitatoryNeuronsMatureDG",0,"Up"
"119","DG","Mir9-3hg","24hrvs1hr_PTZ",171,5.67462103408863e-10,-1.83863135149778,0.027,0.098,9.39564028477157e-05,"chr7-79486279-79487211","ExcitatoryNeuronsMatureDG",12814,"Down"
"120","DG","Gm17226","24hrvs1hr_PTZ",172,6.37650167245186e-10,1.58154119883642,0.116,0.04,0.000105577651141287,"chr9-55540558-55541463","ExcitatoryNeuronsMatureDG",0,"Up"
"121","DG","Zfp189","24hrvs1hr_PTZ",173,6.55170864506149e-10,-1.63997430421204,0.037,0.105,0.000108478605548877,"chr4-49522349-49523224","ExcitatoryNeuronsMatureDG",0,"Down"
"122","DG","Tbc1d32","24hrvs1hr_PTZ",174,7.04075330677835e-10,1.39718907141375,0.13,0.048,0.000116575864726321,"chr10-55851009-55851941","ExcitatoryNeuronsMatureDG",162351,"Up"
"123","DG","Samd12","24hrvs1hr_PTZ",175,1.07969261363196e-09,-2.35093709663102,0.014,0.067,0.000178767945116884,"chr15-53896667-53897528","ExcitatoryNeuronsMatureDG",0,"Down"
"124","DG","Noct","24hrvs1hr_PTZ",176,1.32697220018314e-09,-1.68558877389919,0.035,0.099,0.000219710768100923,"chr3-51195150-51196109","ExcitatoryNeuronsMatureDG",28337,"Down"
"125","DG","Gm29456","24hrvs1hr_PTZ",177,2.92808929951781e-09,1.6824204445837,0.094,0.031,0.000484812529589062,"chr1-119223599-119224474","ExcitatoryNeuronsMatureDG",80871,"Up"
"126","DG","Trhr2","24hrvs1hr_PTZ",178,5.10073279918543e-09,-2.40996318511841,0.012,0.063,0.00084454363175953,"chr8-122355735-122356660","ExcitatoryNeuronsMatureDG",306,"Down"
"127","DG","Mapk12","24hrvs1hr_PTZ",179,6.81533431622552e-09,-2.35712081162644,0.012,0.059,0.00112843534874041,"chr15-89137268-89138093","ExcitatoryNeuronsMatureDG",0,"Down"
"128","DG","Ccnd3","24hrvs1hr_PTZ",180,8.3872515741159e-09,-1.36555735638873,0.048,0.118,0.00138870240488109,"chr17-47510856-47511751","ExcitatoryNeuronsMatureDG",0,"Down"
"129","DG","1700023F06Rik","24hrvs1hr_PTZ",181,8.82786433173839e-09,-2.40390103690778,0.011,0.057,0.00146165598099892,"chr11-103205891-103206816","ExcitatoryNeuronsMatureDG",0,"Down"
"130","DG","Prkcb","24hrvs1hr_PTZ",182,9.46252807811658e-09,-2.15123420201979,0.016,0.068,0.001566739161478,"chr7-122584269-122585279","ExcitatoryNeuronsMatureDG",0,"Down"
"131","DG","Meis1","24hrvs1hr_PTZ",183,1.15761943429904e-08,1.48949941578889,0.106,0.038,0.00191670522595195,"chr11-19020113-19020956","ExcitatoryNeuronsMatureDG",1127,"Up"
"132","DG","Gm28826","24hrvs1hr_PTZ",184,1.16164324359264e-08,-2.53990637518643,0.01,0.053,0.00192336756771365,"chr1-47192759-47193703","ExcitatoryNeuronsMatureDG",3687,"Down"
"133","DG","Gnas","24hrvs1hr_PTZ",185,1.46004225084407e-08,1.46683052083499,0.108,0.038,0.00241743575599006,"chr2-174295051-174295954","ExcitatoryNeuronsMatureDG",0,"Up"
