Description,p.adjust,Regulation,CellType,Comparison
Morphine addiction - Mus musculus (house mouse),0.004777276194680225,Down,Astrocytes,24hrvs1hr_PTZ
Circadian entrainment - Mus musculus (house mouse),0.00540375411104821,Down,Astrocytes,24hrvs1hr_PTZ
Cholinergic synapse - Mus musculus (house mouse),0.00776904842568876,Down,Astrocytes,24hrvs1hr_PTZ
cAMP signaling pathway - Mus musculus (house mouse),0.011020058459866174,Down,Astrocytes,24hrvs1hr_PTZ
GnRH secretion - Mus musculus (house mouse),0.013046219553463944,Down,Astrocytes,24hrvs1hr_PTZ
Amphetamine addiction - Mus musculus (house mouse),0.015423264455415437,Down,Astrocytes,24hrvs1hr_PTZ
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.015824201595287492,Down,Astrocytes,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.017872369439312114,Down,Astrocytes,24hrvs1hr_PTZ
Insulin secretion - Mus musculus (house mouse),0.02272024354501839,Down,Astrocytes,24hrvs1hr_PTZ
MAPK signaling pathway - Mus musculus (house mouse),0.02342520483489014,Down,Astrocytes,24hrvs1hr_PTZ
Taste transduction - Mus musculus (house mouse),0.023454854825924458,Down,Astrocytes,24hrvs1hr_PTZ
Huntington disease - Mus musculus (house mouse),0.023454854825924458,Down,Astrocytes,24hrvs1hr_PTZ
Neuroactive ligand signaling - Mus musculus (house mouse),0.02513537419058792,Down,Astrocytes,24hrvs1hr_PTZ
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.025575386569769463,Down,Astrocytes,24hrvs1hr_PTZ
Dilated cardiomyopathy - Mus musculus (house mouse),0.026382200256260976,Down,Astrocytes,24hrvs1hr_PTZ
Circadian rhythm - Mus musculus (house mouse),0.024065630933729223,Up,Astrocytes,24hrvs1hr_SAL
Nicotine addiction - Mus musculus (house mouse),5.106609243142889e-12,Down,Astrocytes,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),1.424163136324681e-10,Down,Astrocytes,24hrvs1hr_SAL
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),6.422059249255123e-10,Down,Astrocytes,24hrvs1hr_SAL
Circadian entrainment - Mus musculus (house mouse),2.0840882304848417e-9,Down,Astrocytes,24hrvs1hr_SAL
Hypertrophic cardiomyopathy - Mus musculus (house mouse),2.0840882304848417e-9,Down,Astrocytes,24hrvs1hr_SAL
Retrograde endocannabinoid signaling - Mus musculus (house mouse),2.0840882304848417e-9,Down,Astrocytes,24hrvs1hr_SAL
Dilated cardiomyopathy - Mus musculus (house mouse),2.433314174268679e-9,Down,Astrocytes,24hrvs1hr_SAL
Calcium signaling pathway - Mus musculus (house mouse),1.61549761687265e-8,Down,Astrocytes,24hrvs1hr_SAL
Amphetamine addiction - Mus musculus (house mouse),1.716200741870085e-7,Down,Astrocytes,24hrvs1hr_SAL
Oxytocin signaling pathway - Mus musculus (house mouse),1.8407682606176455e-7,Down,Astrocytes,24hrvs1hr_SAL
Neuroactive ligand signaling - Mus musculus (house mouse),2.746649233070206e-7,Down,Astrocytes,24hrvs1hr_SAL
Dopaminergic synapse - Mus musculus (house mouse),4.796862899994233e-7,Down,Astrocytes,24hrvs1hr_SAL
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),4.796862899994233e-7,Down,Astrocytes,24hrvs1hr_SAL
Insulin secretion - Mus musculus (house mouse),7.906848549080458e-7,Down,Astrocytes,24hrvs1hr_SAL
cAMP signaling pathway - Mus musculus (house mouse),9.355646624673656e-7,Down,Astrocytes,24hrvs1hr_SAL
Cardiac muscle contraction - Mus musculus (house mouse),9.355646624673656e-7,Down,Astrocytes,24hrvs1hr_SAL
GABAergic synapse - Mus musculus (house mouse),1.0700019367232594e-6,Down,Astrocytes,24hrvs1hr_SAL
Taste transduction - Mus musculus (house mouse),1.103513076974351e-6,Down,Astrocytes,24hrvs1hr_SAL
Morphine addiction - Mus musculus (house mouse),1.103513076974351e-6,Down,Astrocytes,24hrvs1hr_SAL
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),1.103513076974351e-6,Down,Astrocytes,24hrvs1hr_SAL
Axon guidance - Mus musculus (house mouse),4.726250465587675e-6,Down,Astrocytes,24hrvs1hr_SAL
Cholinergic synapse - Mus musculus (house mouse),5.780204155686959e-6,Down,Astrocytes,24hrvs1hr_SAL
Long-term potentiation - Mus musculus (house mouse),1.528175634725775e-5,Down,Astrocytes,24hrvs1hr_SAL
Spinocerebellar ataxia - Mus musculus (house mouse),3.1392214641518365e-5,Down,Astrocytes,24hrvs1hr_SAL
Prion disease - Mus musculus (house mouse),3.620662168294216e-5,Down,Astrocytes,24hrvs1hr_SAL
MAPK signaling pathway - Mus musculus (house mouse),8.766083753619017e-5,Down,Astrocytes,24hrvs1hr_SAL
Serotonergic synapse - Mus musculus (house mouse),1.867550864092382e-4,Down,Astrocytes,24hrvs1hr_SAL
Type II diabetes mellitus - Mus musculus (house mouse),3.9855497354542637e-4,Down,Astrocytes,24hrvs1hr_SAL
Salmonella infection - Mus musculus (house mouse),4.933155107758279e-4,Down,Astrocytes,24hrvs1hr_SAL
Alzheimer disease - Mus musculus (house mouse),9.747739005836387e-4,Down,Astrocytes,24hrvs1hr_SAL
Neuroactive ligand-receptor interaction - Mus musculus (house mouse),0.001013303539154571,Down,Astrocytes,24hrvs1hr_SAL
Long-term depression - Mus musculus (house mouse),0.0010223365853785865,Down,Astrocytes,24hrvs1hr_SAL
GnRH secretion - Mus musculus (house mouse),0.0012492584482057167,Down,Astrocytes,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),0.0025636697812148465,Down,Astrocytes,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),0.0026587908765268193,Down,Astrocytes,24hrvs1hr_SAL
Synaptic vesicle cycle - Mus musculus (house mouse),0.0029179440259219126,Down,Astrocytes,24hrvs1hr_SAL
Rap1 signaling pathway - Mus musculus (house mouse),0.003069383096786507,Down,Astrocytes,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),0.004575083801666425,Down,Astrocytes,24hrvs1hr_SAL
Salivary secretion - Mus musculus (house mouse),0.004696617474177619,Down,Astrocytes,24hrvs1hr_SAL
Phagosome - Mus musculus (house mouse),0.00530601935291858,Down,Astrocytes,24hrvs1hr_SAL
Huntington disease - Mus musculus (house mouse),0.007092130165918763,Down,Astrocytes,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),0.00794437784712237,Down,Astrocytes,24hrvs1hr_SAL
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.008488434419914603,Down,Astrocytes,24hrvs1hr_SAL
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.00920063818849627,Down,Astrocytes,24hrvs1hr_SAL
Pancreatic secretion - Mus musculus (house mouse),0.013905609915959634,Down,Astrocytes,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.01631403219729597,Down,Astrocytes,24hrvs1hr_SAL
Chemical carcinogenesis - receptor activation - Mus musculus (house mouse),0.016734042361867596,Down,Astrocytes,24hrvs1hr_SAL
ErbB signaling pathway - Mus musculus (house mouse),0.024067067277764635,Down,Astrocytes,24hrvs1hr_SAL
Estrogen signaling pathway - Mus musculus (house mouse),0.024342201973918818,Down,Astrocytes,24hrvs1hr_SAL
Cocaine addiction - Mus musculus (house mouse),0.030876497953286643,Down,Astrocytes,24hrvs1hr_SAL
Viral myocarditis - Mus musculus (house mouse),0.03321624179600294,Down,Astrocytes,24hrvs1hr_SAL
Carbohydrate digestion and absorption - Mus musculus (house mouse),0.03321624179600294,Down,Astrocytes,24hrvs1hr_SAL
Mineral absorption - Mus musculus (house mouse),0.042250917496467776,Down,Astrocytes,24hrvs1hr_SAL
Pantothenate and CoA biosynthesis - Mus musculus (house mouse),0.0039901197035909775,Up,CGE,24hrvs1hr_SAL
Biosynthesis of cofactors - Mus musculus (house mouse),0.014630438913167398,Up,CGE,24hrvs1hr_SAL
Salmonella infection - Mus musculus (house mouse),9.37807529915968e-9,Down,CGE,24hrvs1hr_SAL
Phagosome - Mus musculus (house mouse),5.6855560914980665e-5,Down,CGE,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),5.6855560914980665e-5,Down,CGE,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),5.6855560914980665e-5,Down,CGE,24hrvs1hr_SAL
Prion disease - Mus musculus (house mouse),1.687102091643924e-4,Down,CGE,24hrvs1hr_SAL
Parkinson disease - Mus musculus (house mouse),1.687102091643924e-4,Down,CGE,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),6.653806367358607e-4,Down,CGE,24hrvs1hr_SAL
Alzheimer disease - Mus musculus (house mouse),6.848746625071435e-4,Down,CGE,24hrvs1hr_SAL
Antigen processing and presentation - Mus musculus (house mouse),0.0013223260325874813,Down,CGE,24hrvs1hr_SAL
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.001499016318656908,Down,CGE,24hrvs1hr_SAL
Huntington disease - Mus musculus (house mouse),0.0030707191262769958,Down,CGE,24hrvs1hr_SAL
Estrogen signaling pathway - Mus musculus (house mouse),0.0035472939059573755,Down,CGE,24hrvs1hr_SAL
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.004463830943564369,Down,CGE,24hrvs1hr_SAL
Protein processing in endoplasmic reticulum - Mus musculus (house mouse),0.006376915609118318,Down,CGE,24hrvs1hr_SAL
Necroptosis - Mus musculus (house mouse),0.006376915609118318,Down,CGE,24hrvs1hr_SAL
Lipid and atherosclerosis - Mus musculus (house mouse),0.010738886140898872,Down,CGE,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),0.017695064064790562,Down,CGE,24hrvs1hr_SAL
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.0246105608422928,Down,CGE,24hrvs1hr_SAL
IL-17 signaling pathway - Mus musculus (house mouse),0.0246105608422928,Down,CGE,24hrvs1hr_SAL
Th17 cell differentiation - Mus musculus (house mouse),0.028628981047332365,Down,CGE,24hrvs1hr_SAL
Prostate cancer - Mus musculus (house mouse),0.028628981047332365,Down,CGE,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.034096773594576316,Down,CGE,24hrvs1hr_SAL
Apoptosis - Mus musculus (house mouse),0.04146863940961585,Down,CGE,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),7.143842887877094e-6,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),1.4730409799282396e-4,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Cholinergic synapse - Mus musculus (house mouse),1.4730409799282396e-4,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Axon guidance - Mus musculus (house mouse),1.4730409799282396e-4,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.00060610186790233805,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Oxytocin signaling pathway - Mus musculus (house mouse),0.0011082264566030376,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Nicotine addiction - Mus musculus (house mouse),0.001610424436704881,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Amphetamine addiction - Mus musculus (house mouse),0.0020238622992342042,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.004636973989926773,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
GABAergic synapse - Mus musculus (house mouse),0.007463655909817067,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Circadian entrainment - Mus musculus (house mouse),0.010545809620742025,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Long-term potentiation - Mus musculus (house mouse),0.010545809620742025,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Spinocerebellar ataxia - Mus musculus (house mouse),0.010545809620742025,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),0.01944334359286359,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Type II diabetes mellitus - Mus musculus (house mouse),0.01944334359286359,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.01944334359286359,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Morphine addiction - Mus musculus (house mouse),0.03366342352332177,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Serotonergic synapse - Mus musculus (house mouse),0.034606245663233816,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Long-term depression - Mus musculus (house mouse),0.03685600030261612,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Vascular smooth muscle contraction - Mus musculus (house mouse),0.039804492735788594,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.04375666727166231,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
mRNA surveillance pathway - Mus musculus (house mouse),0.04375666727166231,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Proteoglycans in cancer - Mus musculus (house mouse),0.048308870186329844,Up,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Salmonella infection - Mus musculus (house mouse),1.3967778868763347e-9,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Regulation of actin cytoskeleton - Mus musculus (house mouse),1.0560269290791423e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Oxytocin signaling pathway - Mus musculus (house mouse),2.5787623683425467e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Yersinia infection - Mus musculus (house mouse),2.9061263439602745e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Bacterial invasion of epithelial cells - Mus musculus (house mouse),3.0109150205367956e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Tight junction - Mus musculus (house mouse),4.3136726086324286e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),6.088188597743794e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),6.970214669323397e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Parkinson disease - Mus musculus (house mouse),1.0338178228960985e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),1.2455570299172076e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),1.2455570299172076e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
cGMP-PKG signaling pathway - Mus musculus (house mouse),1.2455570299172076e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Hypertrophic cardiomyopathy - Mus musculus (house mouse),1.2455570299172076e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Oocyte meiosis - Mus musculus (house mouse),1.2455570299172076e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Dilated cardiomyopathy - Mus musculus (house mouse),1.4776441908043546e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Endocytosis - Mus musculus (house mouse),2.0087098672879323e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Insulin secretion - Mus musculus (house mouse),2.0087098672879323e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Salivary secretion - Mus musculus (house mouse),2.085592717668703e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Lipid and atherosclerosis - Mus musculus (house mouse),2.351336418732081e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Amyotrophic lateral sclerosis - Mus musculus (house mouse),2.389112171680629e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Alzheimer disease - Mus musculus (house mouse),3.6420229999213405e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Gastric acid secretion - Mus musculus (house mouse),4.1039510671560643e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Glucagon signaling pathway - Mus musculus (house mouse),6.836691789278207e-4,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Gap junction - Mus musculus (house mouse),0.0010103903866299521,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),0.001050995711326443,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Long-term potentiation - Mus musculus (house mouse),0.0012298032262835587,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.0013991034491724755,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Glutamatergic synapse - Mus musculus (house mouse),0.0013991034491724755,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Fc gamma R-mediated phagocytosis - Mus musculus (house mouse),0.0015642158296886167,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Prion disease - Mus musculus (house mouse),0.0017799983761656645,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Phagosome - Mus musculus (house mouse),0.002161503874746288,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
cAMP signaling pathway - Mus musculus (house mouse),0.0031964311137802856,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Estrogen signaling pathway - Mus musculus (house mouse),0.003281390951074855,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.003995012647846064,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),0.006663672475277491,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Rap1 signaling pathway - Mus musculus (house mouse),0.007090899866745546,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Amphetamine addiction - Mus musculus (house mouse),0.007090899866745546,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Circadian entrainment - Mus musculus (house mouse),0.009713672271899277,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Renin secretion - Mus musculus (house mouse),0.011132166311587156,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.011575499458048382,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Motor proteins - Mus musculus (house mouse),0.01170156694161422,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Huntington disease - Mus musculus (house mouse),0.012824329915371274,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Focal adhesion - Mus musculus (house mouse),0.012922949733499344,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Apelin signaling pathway - Mus musculus (house mouse),0.014343302295851214,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
C-type lectin receptor signaling pathway - Mus musculus (house mouse),0.01567989425188797,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Protein processing in endoplasmic reticulum - Mus musculus (house mouse),0.016625758692593553,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Tuberculosis - Mus musculus (house mouse),0.018196863319935565,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Cardiac muscle contraction - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Human cytomegalovirus infection - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Nucleocytoplasmic transport - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
GnRH signaling pathway - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Viral life cycle - HIV-1 - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.019176560125525665,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Ribosome - Mus musculus (house mouse),0.01925803432320974,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Coronavirus disease - COVID-19 - Mus musculus (house mouse),0.01925803432320974,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Adherens junction - Mus musculus (house mouse),0.019909404489327338,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.02062882818072263,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Phosphatidylinositol signaling system - Mus musculus (house mouse),0.023663902936040367,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Apoptosis - Mus musculus (house mouse),0.033845952776448474,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Insulin signaling pathway - Mus musculus (house mouse),0.03843933628981214,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Pertussis - Mus musculus (house mouse),0.03843933628981214,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Phototransduction - Mus musculus (house mouse),0.04030218074888002,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Vascular smooth muscle contraction - Mus musculus (house mouse),0.042717031176522834,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Axon guidance - Mus musculus (house mouse),0.04444076752394774,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Phospholipase D signaling pathway - Mus musculus (house mouse),0.048710470596178786,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Pancreatic secretion - Mus musculus (house mouse),0.048710470596178786,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Mineral absorption - Mus musculus (house mouse),0.04931020643604212,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),0.04931020643604212,Down,ExcitatoryNeuronsCA1,24hrvs1hr_PTZ
Axon guidance - Mus musculus (house mouse),2.197669040953493e-6,Up,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),0.011436596357236197,Up,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Oxytocin signaling pathway - Mus musculus (house mouse),0.011436596357236197,Up,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Cholinergic synapse - Mus musculus (house mouse),0.03443971723085736,Up,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Parkinson disease - Mus musculus (house mouse),1.4999590693603838e-8,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),5.840911498891803e-7,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),1.011600424532033e-6,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Alzheimer disease - Mus musculus (house mouse),1.3138061717853972e-6,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Salmonella infection - Mus musculus (house mouse),2.984111247614576e-6,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Prion disease - Mus musculus (house mouse),6.738385194526933e-6,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Huntington disease - Mus musculus (house mouse),2.711268933152552e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),3.322355309513424e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),8.2746197010243e-5,Down,ExcitatoryNeuronsCA1,24hrvs1hr_SAL
